time,Mesh,max_abs_diff,l2_abs_error,l2_rel_error,l2_rmse_error,num_cells
0.0,0,0.6707671370066919,2.265192313397474e-05,7.472183121878523e-08,0.0006075850341325952,1832
0.005,0,1.4870408425001642,9.43362565698048e-05,3.1118672792282636e-07,0.0025043013017426504,1832
0.01,0,0.8106190572755168,5.8372529089810514e-05,1.925532874478328e-07,0.0015437285242046457,1832
0.015,0,0.5848457772992788,4.352579234956385e-05,1.4357840128505313e-07,0.0011479821452599274,1832
0.02,0,0.44751123329939446,3.4602794020796824e-05,1.1414413333596183e-07,0.0009106903786385891,1832
0.025,0,0.3707286614535974,2.8994171057539173e-05,9.56429855106026e-08,0.0007617271036263089,1832
0.0,1,1.6027854591539494,1.3168692544107988e-05,4.343952678247728e-08,0.0004993464052398778,7404
0.005,1,0.21136416811151548,8.017348489390809e-06,2.644680352759627e-08,0.00030090544392573604,7404
0.01,1,0.12018203068765843,4.967116684099361e-06,1.6385012977401818e-08,0.000185722023254224,7404
0.015,1,0.09288619981418833,3.8028131530874053e-06,1.2544328395472227e-08,0.00014180537042684344,7404
0.02,1,0.0765686456207959,3.1324762030508472e-06,1.0333089899557471e-08,0.00011655966697325197,7404
0.025,1,0.06447830667138987,2.765000611448627e-06,9.120899262571755e-09,0.0001027037058461089,7404
0.0,2,1.4565226255076027,1.7422474916797535e-05,5.7471465996363306e-08,0.0009343056385114442,29650
0.005,2,0.053692970294150655,9.057803339604166e-07,2.9878948835903567e-09,4.807332685753483e-05,29650
0.01,2,0.03497286813149003,7.373304432578742e-07,2.4322297320068426e-09,3.8985633181343545e-05,29650
0.015,2,0.029613982553939877,7.035975722382201e-07,2.3209552110777508e-09,3.710189309108496e-05,29650
0.02,2,0.02669044763774764,7.069514791547004e-07,2.3320187338106564e-09,3.719928526469018e-05,29650
0.025,2,0.024498528360993532,7.296402809067762e-07,2.406862216416877e-09,3.832520294070678e-05,29650
