Mesh,z,Tbulk_sim
0.0,1,307.7986769318587
0.0,2,313.49055193137616
0.0,3,316.9490067197301
0.0,4,316.47127301695275
0.0,5,305.0359991811339
0.0,6,301.3686178177899
0.0,7,307.295265671706
1.0,1,307.3806155116746
1.0,2,313.20531315230426
1.0,3,316.75832077174357
1.0,4,316.2152933139514
1.0,5,304.5624172945375
1.0,6,300.8252364261903
1.0,7,306.8668028725888
2.0,1,307.28466534664665
2.0,2,313.1208689155504
2.0,3,316.71491126960825
2.0,4,316.14478297447926
2.0,5,304.4669537549957
2.0,6,300.73615013816914
2.0,7,306.77067420869145
2.2,1,307.2742634884832
2.2,2,313.1122867341582
2.2,3,316.7133274046445
2.2,4,316.12133711122505
2.2,5,304.4777623070038
2.2,6,300.7866456672021
2.2,7,306.7637491567237

