,QOI,subset,p,s,b,beta0,beta1,gamma1,objective,p-value
0,Temperature,0,1.0,0.0,0,307.2490046105526,2910855.1056119525,2.0,0.003953528518330977,
1,Temperature,0,1.0,0.0,1,307.2490040719531,2910858.7684001843,2.0,0.003297973170958843,
2,Temperature,0,1.0,0.0,2,307.25139991783556,2705498.3886239114,1.99111328125,0.0006693911447837456,
3,Temperature,0,1.0,0.0,3,307.2517232451275,2504571.359574624,1.9843750000000004,0.000609389279497634,
4,Temperature,0,1.0,0.0,4,307.2516259286479,2910855.4441577005,2.0,0.0006554675466869382,
5,Temperature,0,1.0,0.0,5,307.24900460119,2910853.153208348,2.0,2.4419085152560595e-07,
6,Temperature,0,1.0,0.0,6,307.25173859269086,2896377.8244938226,2.0,0.0005196026108472985,
7,Temperature,0,1.0,0.0,7,307.2477720972114,2343545.039856387,1.9710937500000003,0.0005393362308273821,
8,Temperature,0,1.0,0.0,8,307.2477588563654,2341829.5540220863,1.9709960937499997,0.00011625855118150675,
9,Temperature,0,1.0,0.0,9,307.2490046776316,2910851.970265631,2.0,1.7753150030320375e-07,
10,Temperature,0,1.0,0.0,10,307.2273952253285,785640.3680456072,1.8258327907986112,0.0032165572185743033,
11,Temperature,0,1.0,0.0,11,307.2477588821488,2341829.9052585806,1.9709960937499997,0.0034142929576014176,
12,Temperature,0,1.0,0.0,12,307.2358126697408,2910854.0895603346,2.0,0.0032981095893515277,
13,Temperature,0,1.0,0.0,13,307.2477588821488,2341829.9052585806,1.9709960937499997,0.0034142929576014176,
14,Temperature,0,1.0,0.0,14,307.25173858378224,2896377.875835832,2.0,0.0038176738904740323,
15,Temperature,0,1.0,0.0,15,307.2257351827652,542395.5890784685,1.7806057400173614,0.0008222586961911122,
16,Temperature,0,1.0,0.0,16,307.24957084146774,2837996.0066701234,2.0,0.002614978442753536,
17,Temperature,0,1.0,0.0,17,307.23581269995447,2910853.894352188,2.0,0.003953414333497228,
18,Temperature,0,1.0,0.0,18,307.24784795754834,2007814.697898465,1.9548828125,7.07334210510068e-05,
19,Temperature,0,1.0,0.0,19,307.23513333509123,2998193.1740686283,2.0,0.004116805040677157,
20,Temperature,0,1.0,0.0,20,307.2516259508134,2910855.201926966,2.0,0.0006554686784590209,
21,Temperature,0,1.0,0.0,21,307.24900521249,2910848.877191223,2.0,0.003953442165265055,
22,Temperature,0,1.0,0.0,22,307.22769261158976,843976.8210910071,1.8345608181423614,0.0007207709138694699,
23,Temperature,0,1.0,0.0,23,307.25022572403304,1862246.8935552577,1.9457329644097228,0.0040386318636995945,
24,Temperature,0,1.0,0.0,24,307.2490053163343,2910848.085797911,2.0,0.003953454865135304,
25,Temperature,0,1.0,0.0,25,307.24753171886556,2178331.6895356635,1.9622070312499997,0.0034284472295290796,
26,Temperature,0,1.0,0.0,26,307.2490041886666,2910857.7798100295,2.0,0.003298138073732158,
27,Temperature,0,1.0,0.0,27,307.24900387392205,2910859.995793168,2.0,0.0032980936869814203,
28,Temperature,0,1.0,0.0,28,307.247847863543,2007815.1878468902,1.9548828125,7.075188567834571e-05,
29,Temperature,0,1.0,0.0,29,307.2291649286019,1025445.1836845663,1.8606445312499997,0.0027005276183611573,
30,Temperature,0,1.0,0.0,30,307.2490047316547,2910855.284964618,2.0,0.003298091785671987,
31,Temperature,0,1.0,0.0,31,307.2490048406557,2910851.4232542044,2.0,0.0006554872614130172,
32,Temperature,0,1.0,0.0,32,307.2477705728538,2343552.1664586305,1.9710937499999999,0.00011651239341998561,
33,Temperature,0,1.0,0.0,33,307.2514001381286,2705494.2343803123,1.99111328125,0.0006692306383972607,
