             QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
0    Temperature       0  1.0  0.0    0  307.249005  2.910855e+06  2.000000  3.953529e-03      NaN
1    Temperature       0  1.0  0.0    1  307.249004  2.910859e+06  2.000000  3.297973e-03      NaN
2    Temperature       0  1.0  0.0    2  307.251400  2.705498e+06  1.991113  6.693911e-04      NaN
3    Temperature       0  1.0  0.0    3  307.251723  2.504571e+06  1.984375  6.093893e-04      NaN
4    Temperature       0  1.0  0.0    4  307.251626  2.910855e+06  2.000000  6.554675e-04      NaN
5    Temperature       0  1.0  0.0    5  307.249005  2.910853e+06  2.000000  2.441909e-07      NaN
6    Temperature       0  1.0  0.0    6  307.251739  2.896378e+06  2.000000  5.196026e-04      NaN
7    Temperature       0  1.0  0.0    7  307.247772  2.343545e+06  1.971094  5.393362e-04      NaN
8    Temperature       0  1.0  0.0    8  307.247759  2.341830e+06  1.970996  1.162586e-04      NaN
9    Temperature       0  1.0  0.0    9  307.249005  2.910852e+06  2.000000  1.775315e-07      NaN
10   Temperature       0  1.0  0.0   10  307.227395  7.856404e+05  1.825833  3.216557e-03      NaN
11   Temperature       0  1.0  0.0   11  307.247759  2.341830e+06  1.970996  3.414293e-03      NaN
12   Temperature       0  1.0  0.0   12  307.235813  2.910854e+06  2.000000  3.298110e-03      NaN
13   Temperature       0  1.0  0.0   13  307.247759  2.341830e+06  1.970996  3.414293e-03      NaN
14   Temperature       0  1.0  0.0   14  307.251739  2.896378e+06  2.000000  3.817674e-03      NaN
15   Temperature       0  1.0  0.0   15  307.225735  5.423956e+05  1.780606  8.222587e-04      NaN
16   Temperature       0  1.0  0.0   16  307.249571  2.837996e+06  2.000000  2.614978e-03      NaN
17   Temperature       0  1.0  0.0   17  307.235813  2.910854e+06  2.000000  3.953414e-03      NaN
18   Temperature       0  1.0  0.0   18  307.247848  2.007815e+06  1.954883  7.073342e-05      NaN
19   Temperature       0  1.0  0.0   19  307.235133  2.998193e+06  2.000000  4.116805e-03      NaN
20   Temperature       0  1.0  0.0   20  307.251626  2.910855e+06  2.000000  6.554687e-04      NaN
21   Temperature       0  1.0  0.0   21  307.249005  2.910849e+06  2.000000  3.953442e-03      NaN
22   Temperature       0  1.0  0.0   22  307.227693  8.439768e+05  1.834561  7.207709e-04      NaN
23   Temperature       0  1.0  0.0   23  307.250226  1.862247e+06  1.945733  4.038632e-03      NaN
24   Temperature       0  1.0  0.0   24  307.249005  2.910848e+06  2.000000  3.953455e-03      NaN
25   Temperature       0  1.0  0.0   25  307.247532  2.178332e+06  1.962207  3.428447e-03      NaN
26   Temperature       0  1.0  0.0   26  307.249004  2.910858e+06  2.000000  3.298138e-03      NaN
27   Temperature       0  1.0  0.0   27  307.249004  2.910860e+06  2.000000  3.298094e-03      NaN
28   Temperature       0  1.0  0.0   28  307.247848  2.007815e+06  1.954883  7.075189e-05      NaN
29   Temperature       0  1.0  0.0   29  307.229165  1.025445e+06  1.860645  2.700528e-03      NaN
30   Temperature       0  1.0  0.0   30  307.249005  2.910855e+06  2.000000  3.298092e-03      NaN
31   Temperature       0  1.0  0.0   31  307.249005  2.910851e+06  2.000000  6.554873e-04      NaN
32   Temperature       0  1.0  0.0   32  307.247771  2.343552e+06  1.971094  1.165124e-04      NaN
33   Temperature       0  1.0  0.0   33  307.251400  2.705494e+06  1.991113  6.692306e-04      NaN
34   Temperature       0  1.0  0.0   34  307.248067  2.929703e+06  2.000000  3.974516e-03      NaN
35   Temperature       0  1.0  0.0   35  307.229164  1.025445e+06  1.860645  3.355828e-03      NaN
36   Temperature       0  1.0  0.0   36  307.248823  2.925699e+06  2.000000  8.112028e-04      NaN
37   Temperature       0  1.0  0.0   37  307.229153  1.024863e+06  1.860569  5.979203e-04      NaN
38   Temperature       0  1.0  0.0   38  307.250222  1.861830e+06  1.945703  7.406758e-04      NaN
39   Temperature       0  1.0  0.0   39  307.251626  2.910855e+06  2.000000  1.047421e-14      NaN
40   Temperature       0  1.0  0.0   40  307.234897  2.985559e+06  2.000000  7.838313e-04      NaN
41   Temperature       0  1.0  0.0   41  307.246278  1.499501e+06  1.916797  2.041795e-04      NaN
42   Temperature       0  1.0  0.0   42  307.249005  2.910852e+06  2.000000  3.953492e-03      NaN
43   Temperature       0  1.0  0.0   43  307.247545  2.179927e+06  1.962305  5.253535e-04      NaN
44   Temperature       0  1.0  0.0   44  307.229442  1.101327e+06  1.869336  2.716081e-03      NaN
45   Temperature       0  1.0  0.0   45  307.234715  3.000407e+06  2.000000  4.237731e-03      NaN
46   Temperature       0  1.0  0.0   46  307.248823  2.925699e+06  2.000000  4.109275e-03      NaN
47   Temperature       0  1.0  0.0   47  307.247759  2.341830e+06  1.970996  1.164134e-04      NaN
48   Temperature       0  1.0  0.0   48  307.235246  2.983713e+06  2.000000  4.636365e-03      NaN
49   Temperature       0  1.0  0.0   49  307.249572  2.837991e+06  2.000000  3.270472e-03      NaN
50   Temperature       0  1.0  0.0   50  307.251722  2.504576e+06  1.984375  3.907467e-03      NaN
51   Temperature       0  1.0  0.0   51  307.251739  2.896378e+06  2.000000  5.196026e-04      NaN
52   Temperature       0  1.0  0.0   52  307.227693  8.439768e+05  1.834561  7.207709e-04      NaN
53   Temperature       0  1.0  0.0   53  307.235246  2.983717e+06  2.000000  3.980964e-03      NaN
54   Temperature       0  1.0  0.0   54  307.235812  2.910855e+06  2.000000  1.047421e-14      NaN
55   Temperature       0  1.0  0.0   55  307.227624  7.092734e+05  1.815694  6.797298e-04      NaN
56   Temperature       0  1.0  0.0   56  307.229164  1.025447e+06  1.860645  3.355823e-03      NaN
57   Temperature       0  1.0  0.0   57  307.248892  2.925332e+06  2.000000  7.911606e-04      NaN
58   Temperature       0  1.0  0.0   58  307.249005  2.910856e+06  2.000000  3.953506e-03      NaN
59   Temperature       0  1.0  0.0   59  307.249005  2.910856e+06  2.000000  6.554837e-04      NaN
60   Temperature       0  1.0  0.0   60  307.251739  2.896374e+06  2.000000  5.197255e-04      NaN
61   Temperature       0  1.0  0.0   61  307.251626  2.910855e+06  2.000000  6.553137e-04      NaN
62   Temperature       0  1.0  0.0   62  307.249571  2.837994e+06  2.000000  3.270504e-03      NaN
63   Temperature       0  1.0  0.0   63  307.246291  1.500599e+06  1.916895  4.515045e-04      NaN
64   Temperature       0  1.0  0.0   64  307.246291  1.500599e+06  1.916895  4.516614e-04      NaN
65   Temperature       0  1.0  0.0   65  307.229442  1.101327e+06  1.869336  2.715926e-03      NaN
66   Temperature       0  1.0  0.0   66  307.249004  2.910860e+06  2.000000  3.297954e-03      NaN
67   Temperature       0  1.0  0.0   67  307.247848  2.007816e+06  1.954883  3.368852e-03      NaN
68   Temperature       0  1.0  0.0   68  307.248892  2.925333e+06  2.000000  4.089211e-03      NaN
69   Temperature       0  1.0  0.0   69  307.249005  2.910851e+06  2.000000  6.554885e-04      NaN
70   Temperature       0  1.0  0.0   70  307.251626  2.910856e+06  2.000000  3.953411e-03      NaN
71   Temperature       0  1.0  0.0   71  307.249004  2.910855e+06  2.000000  3.297937e-03      NaN
72   Temperature       0  1.0  0.0   72  307.250222  1.861830e+06  1.945703  7.406758e-04      NaN
73   Temperature       0  1.0  0.0   73  307.234897  2.985559e+06  2.000000  4.737273e-03      NaN
74   Temperature       0  1.0  0.0   74  307.251626  2.910855e+06  2.000000  6.553137e-04      NaN
75   Temperature       0  1.0  0.0   75  307.227381  7.851249e+05  1.825745  7.372673e-04      NaN
76   Temperature       0  1.0  0.0   76  307.248892  2.925332e+06  2.000000  7.910057e-04      NaN
77   Temperature       0  1.0  0.0   77  307.234715  3.000406e+06  2.000000  4.893012e-03      NaN
78   Temperature       0  1.0  0.0   78  307.251400  2.705494e+06  1.991113  6.692306e-04      NaN
79   Temperature       0  1.0  0.0   79  307.249571  2.837996e+06  2.000000  2.615133e-03      NaN
80   Temperature       0  1.0  0.0   80  307.235813  2.910854e+06  2.000000  3.297955e-03      NaN
81   Temperature       0  1.0  0.0   81  307.249005  2.910856e+06  2.000000  2.277655e-07      NaN
82   Temperature       0  1.0  0.0   82  307.227395  7.856416e+05  1.825833  3.216552e-03      NaN
83   Temperature       0  1.0  0.0   83  307.249004  2.910856e+06  2.000000  3.298108e-03      NaN
84   Temperature       0  1.0  0.0   84  307.229152  1.024865e+06  1.860569  5.979169e-04      NaN
85   Temperature       0  1.0  0.0   85  307.251723  2.504571e+06  1.984375  6.095442e-04      NaN
86   Temperature       0  1.0  0.0   86  307.229165  1.025444e+06  1.860645  3.355832e-03      NaN
87   Temperature       0  1.0  0.0   87  307.225735  5.423956e+05  1.780606  8.222587e-04      NaN
88   Temperature       0  1.0  0.0   88  307.251739  2.896378e+06  2.000000  5.196026e-04      NaN
89   Temperature       0  1.0  0.0   89  307.246278  1.499501e+06  1.916797  2.044863e-04      NaN
90   Temperature       0  1.0  0.0   90  307.249005  2.910851e+06  2.000000  6.554873e-04      NaN
91   Temperature       0  1.0  0.0   91  307.251400  2.705494e+06  1.991113  6.693856e-04      NaN
92   Temperature       0  1.0  0.0   92  307.248822  2.925702e+06  2.000000  1.556297e-04      NaN
93   Temperature       0  1.0  0.0   93  307.249004  2.910858e+06  2.000000  6.554966e-04      NaN
94   Temperature       0  1.0  0.0   94  307.235246  2.983713e+06  2.000000  4.636365e-03      NaN
95   Temperature       0  1.0  0.0   95  307.227624  7.092734e+05  1.815694  6.797298e-04      NaN
96   Temperature       0  1.0  0.0   96  307.249004  2.910857e+06  2.000000  2.352900e-07      NaN
97   Temperature       0  1.0  0.0   97  307.247848  2.007815e+06  1.954883  7.088880e-05      NaN
98   Temperature       0  1.0  0.0   98  307.234897  2.985559e+06  2.000000  4.737273e-03      NaN
99   Temperature       0  1.0  0.0   99  307.249005  2.910851e+06  2.000000  6.554873e-04      NaN
100  Temperature       0  1.0  0.0  100  307.247545  2.179927e+06  1.962305  5.255080e-04      NaN
101  Temperature       0  1.0  1.0    0  307.249004  2.910857e+06  2.000000  3.272461e-03      NaN
