,QOI,subset,p,s,b,beta0,beta1,gamma1,objective,p-value
0,Temperature,0,1.0,0.0,0,307.25039801457143,34267.427793144845,2.0,0.005537749836950893,
1,Temperature,0,1.0,0.0,1,307.25039785364663,34267.44093039107,2.0,0.001713060752904366,
2,Temperature,0,1.0,0.0,2,307.2650963182633,25939.10845743044,1.9544921874999999,0.003988489904243274,
3,Temperature,0,1.0,0.0,3,307.2526821686575,33696.40465077981,2.0,0.003717572553110802,
4,Temperature,0,1.0,0.0,4,307.26569646074995,34267.4390348955,2.0,0.003824714003435042,
5,Temperature,0,1.0,0.0,5,307.2503980344942,34267.42187478834,2.0,6.751206709547282e-08,
6,Temperature,0,1.0,0.0,6,307.2659394880389,33296.08999123218,2.0,0.003096139243588171,
7,Temperature,0,1.0,0.0,7,307.2472546321013,16863.634616738404,1.8655938042534728,0.0025092883876125624,
8,Temperature,0,1.0,0.0,8,307.24725152323526,16863.727553505792,1.8655938042534728,0.0013159385305732527,
9,Temperature,0,1.0,0.0,9,307.25039805539313,34267.417940532156,2.0,4.852442298414243e-08,
10,Temperature,0,1.0,0.0,10,307.23786001670175,9622.806964010004,1.7658827039930554,0.0034049078491537547,
11,Temperature,0,1.0,0.0,11,307.247251447598,16863.72983660089,1.8655938042534728,0.0030290105249239255,
12,Temperature,0,1.0,0.0,12,307.24354591981927,34267.419742128506,2.0,0.0017130973292064067,
13,Temperature,0,1.0,0.0,13,307.247251447598,16863.72983660089,1.8655938042534728,0.0030290105249239255,
14,Temperature,0,1.0,0.0,14,307.2659395517372,33296.081560600986,2.0,0.004809237782825367,
15,Temperature,0,1.0,0.0,15,307.2374016130346,8493.06178961538,1.745340983072916,0.0022277971073420473,
16,Temperature,0,1.0,0.0,16,307.2505067409211,33832.36806058143,2.0,0.0013867528975374174,
17,Temperature,0,1.0,0.0,17,307.2435460049574,34267.41386020088,2.0,0.005537746944631295,
18,Temperature,0,1.0,0.0,18,307.25013436485614,30280.07902831068,1.9797851562500002,7.255488309920887e-05,
19,Temperature,0,1.0,0.0,19,307.2431942232829,35673.82737468257,2.0,0.0027678807586624787,
20,Temperature,0,1.0,0.0,20,307.2656965841719,34267.429793698924,2.0,0.0038246952250072935,
21,Temperature,0,1.0,0.0,21,307.25039810609974,34267.41380611438,2.0,0.005537710263148796,
22,Temperature,0,1.0,0.0,22,307.23878253995304,12626.01266382953,1.8104926215277777,0.001930462308477742,
23,Temperature,0,1.0,0.0,23,307.2648051181983,22828.034245366016,1.93359375,0.005777803157046759,
24,Temperature,0,1.0,0.0,24,307.25039820532396,34267.40535156036,2.0,0.005537728796458249,
25,Temperature,0,1.0,0.0,25,307.2464376652438,12826.350630458348,1.8207194010416667,0.0032196893015738904,
26,Temperature,0,1.0,0.0,26,307.2503978911953,34267.437201380104,2.0,0.0017130964096445426,
27,Temperature,0,1.0,0.0,27,307.25039778984626,34267.446822302765,2.0,0.0017130902433251042,
28,Temperature,0,1.0,0.0,28,307.250138500323,30288.02050743296,1.9798339843750001,7.245370529233424e-05,
29,Temperature,0,1.0,0.0,29,307.24221525095203,24655.416974426953,1.9376953125,0.0011340836063658576,
30,Temperature,0,1.0,0.0,30,307.250398031255,34267.42989935747,2.0,0.0017130926464993792,
31,Temperature,0,1.0,0.0,31,307.25039833886325,34267.399626987484,2.0,0.0038247153089436955,
32,Temperature,0,1.0,0.0,32,307.2472556594152,16867.710996930182,1.8656378851996533,0.0013160067892156507,
33,Temperature,0,1.0,0.0,33,307.26509637682784,25939.0974269733,1.9544921874999999,0.00398844502396587,
34,Temperature,0,1.0,0.0,34,307.2452979103629,35542.35349782582,2.0,0.005776855271554824,
35,Temperature,0,1.0,0.0,35,307.2422152979996,24655.40793124392,1.9376953125,0.004958759973092464,
36,Temperature,0,1.0,0.0,36,307.24937809552284,35287.31906794491,2.0,0.004780920236981728,
37,Temperature,0,1.0,0.0,37,307.2422162567402,24662.023103499505,1.9377441406250002,0.0005796399852337401,
38,Temperature,0,1.0,0.0,38,307.26480510323915,22828.034692747435,1.93359375,0.004064735842564229,
39,Temperature,0,1.0,0.0,39,307.2656966315349,34267.42779314419,2.0,6.552821136759793e-15,
40,Temperature,0,1.0,0.0,40,307.2430890043747,34724.23473326011,2.0,0.0004282600688058347,
41,Temperature,0,1.0,0.0,41,307.2460408228809,11311.68583246364,1.800089518229167,0.0015951563681195896,
42,Temperature,0,1.0,0.0,42,307.25039802579363,34267.41657203921,2.0,0.005537739317585989,
43,Temperature,0,1.0,0.0,43,307.2464389281469,12826.319601406934,1.8207194010416667,0.0023183037195597953,
44,Temperature,0,1.0,0.0,44,307.24283759626377,32220.17753376047,1.9814453125000002,0.0013011035970256837,
45,Temperature,0,1.0,0.0,45,307.24206911274365,35744.14267674947,2.0,0.003097518814688666,
46,Temperature,0,1.0,0.0,46,307.24937805124534,35287.336418491264,2.0,0.006493892919785971,
47,Temperature,0,1.0,0.0,47,307.24725152323293,16863.727553570785,1.8655938042534728,0.0013159806089313992,
48,Temperature,0,1.0,0.0,48,307.24343693234835,34702.47435143312,2.0,0.005864079698609284,
49,Temperature,0,1.0,0.0,49,307.25050691488536,33832.35427458885,2.0,0.005211432932010651,
50,Temperature,0,1.0,0.0,50,307.2526819709881,33696.41679626742,2.0,0.0054306465990683695,
51,Temperature,0,1.0,0.0,51,307.2659394880389,33296.08999123218,2.0,0.003096139243588171,
52,Temperature,0,1.0,0.0,52,307.23878253995304,12626.01266382953,1.8104926215277777,0.001930462308477742,
53,Temperature,0,1.0,0.0,53,307.2434370314779,34702.49360339503,2.0,0.00203933027005314,
