             QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
0    Temperature       0  1.0  0.0    0  307.250398  34267.427793  2.000000  5.537750e-03      NaN
1    Temperature       0  1.0  0.0    1  307.250398  34267.440930  2.000000  1.713061e-03      NaN
2    Temperature       0  1.0  0.0    2  307.265096  25939.108457  1.954492  3.988490e-03      NaN
3    Temperature       0  1.0  0.0    3  307.252682  33696.404651  2.000000  3.717573e-03      NaN
4    Temperature       0  1.0  0.0    4  307.265696  34267.439035  2.000000  3.824714e-03      NaN
5    Temperature       0  1.0  0.0    5  307.250398  34267.421875  2.000000  6.751207e-08      NaN
6    Temperature       0  1.0  0.0    6  307.265939  33296.089991  2.000000  3.096139e-03      NaN
7    Temperature       0  1.0  0.0    7  307.247255  16863.634617  1.865594  2.509288e-03      NaN
8    Temperature       0  1.0  0.0    8  307.247252  16863.727554  1.865594  1.315939e-03      NaN
9    Temperature       0  1.0  0.0    9  307.250398  34267.417941  2.000000  4.852442e-08      NaN
10   Temperature       0  1.0  0.0   10  307.237860   9622.806964  1.765883  3.404908e-03      NaN
11   Temperature       0  1.0  0.0   11  307.247251  16863.729837  1.865594  3.029011e-03      NaN
12   Temperature       0  1.0  0.0   12  307.243546  34267.419742  2.000000  1.713097e-03      NaN
13   Temperature       0  1.0  0.0   13  307.247251  16863.729837  1.865594  3.029011e-03      NaN
14   Temperature       0  1.0  0.0   14  307.265940  33296.081561  2.000000  4.809238e-03      NaN
15   Temperature       0  1.0  0.0   15  307.237402   8493.061790  1.745341  2.227797e-03      NaN
16   Temperature       0  1.0  0.0   16  307.250507  33832.368061  2.000000  1.386753e-03      NaN
17   Temperature       0  1.0  0.0   17  307.243546  34267.413860  2.000000  5.537747e-03      NaN
18   Temperature       0  1.0  0.0   18  307.250134  30280.079028  1.979785  7.255488e-05      NaN
19   Temperature       0  1.0  0.0   19  307.243194  35673.827375  2.000000  2.767881e-03      NaN
20   Temperature       0  1.0  0.0   20  307.265697  34267.429794  2.000000  3.824695e-03      NaN
21   Temperature       0  1.0  0.0   21  307.250398  34267.413806  2.000000  5.537710e-03      NaN
