,QOI,subset,p,s,b,beta0,beta1,beta2,beta12,gamma1,gamma2,objective,p-value
0,Temperature,0,1.0,0.0,0,305.78276232204666,155.08856637892265,237.7341710591729,-174405.09003369499,3.999854965301977,1.29768230873497,0.0023797713503158004,
1,Temperature,0,1.0,0.0,1,305.79941387924595,58.04931224622438,6236.103544091406,-2817143.1086233584,3.382586612829047,1.9997284740299386,0.00107588389950453,
2,Temperature,0,1.0,0.0,2,305.78476213796165,172.08100882859992,154.91449385630966,-149588.4474544766,3.999897452493316,1.2500207315353082,0.0005535454755557262,
3,Temperature,0,1.0,0.0,3,305.745264667459,167.35920967780442,80.583981549173,-48246.813770546905,3.999841266011571,1.0474488934451136,0.0006742342114601583,
4,Temperature,0,1.0,0.0,4,305.7847620767093,172.0809337078121,154.91479907664578,-149588.38685450703,3.999897452493316,1.2500207315353082,0.0005535634550415731,
5,Temperature,0,1.0,0.0,5,305.80924223478746,70.45506209701772,6631.622814258189,-3461176.168685633,3.559371067837959,1.9999578080402602,0.0010510034128349225,
6,Temperature,0,1.0,0.0,6,305.8096810350834,75.95797883178862,6799.251510131271,-3768216.1949382285,3.6107267812951407,1.9994527693197335,0.0014766022619458483,
7,Temperature,0,1.0,0.0,7,305.73350844906685,168.366899045664,60.258111590450035,-33291.68313136699,3.999819165732668,0.9782684608433208,0.001251987447159339,
8,Temperature,0,1.0,0.0,8,305.7209684268156,169.4273167275067,46.55787884147741,-23957.606335676184,3.999823478398757,0.9167376159517197,0.001387610757674009,
9,Temperature,0,1.0,0.0,9,305.7871456616732,123.499805191489,671.0495799347688,-357725.79877579655,3.9110052873167653,1.4715829860244383,1.8012770211255061e-06,
10,Temperature,0,1.0,0.0,10,305.7591173637731,159.4796104301815,83.73604033770796,-49544.116088317576,3.9995511435205113,1.0623663207246876,0.000996390546426951,
11,Temperature,0,1.0,0.0,11,305.77979390354693,30.37931925300737,10176.166283504774,-1404396.1539333572,2.9880134589986738,1.999906737461384,0.0003772467761129296,
12,Temperature,0,1.0,0.0,12,305.7827597208438,155.10005086527238,237.68167713839412,-174376.429930854,3.9998942087088833,1.2976380596886687,1.030678243296606e-07,
13,Temperature,0,1.0,0.0,13,305.78869816235215,23.326735654454318,13178.83586891412,-1059540.654486893,2.9186323395934375,1.9996682650276867,0.00046197229919178284,
14,Temperature,0,1.0,0.0,14,305.8093724204391,73.68646805840496,6952.793653733702,-3658267.954009073,3.5922556019702148,1.9999519512059116,9.371182469550798e-05,
15,Temperature,0,1.0,0.0,15,305.77785715108706,160.74381092416016,356.72699244948456,-293470.584557545,3.999952341100135,1.385077725125734,0.0030019614280464455,
16,Temperature,0,1.0,0.0,16,305.7591153984524,29.546421024905044,931.6503122687283,-78049.23376091266,3.0520991676400033,1.47236901477202,8.32334229491491e-05,
17,Temperature,0,1.0,0.0,17,305.7827604507092,155.09641280775628,237.69651570132277,-174384.31361665967,3.999881008518333,1.2976508323427103,1.0733533748449486e-07,
18,Temperature,0,1.0,0.0,18,305.78714250366266,123.51651350477637,670.7798990736745,-357622.5619416104,3.9110840867789376,1.4715042157084548,0.0009731717037137329,
19,Temperature,0,1.0,0.0,19,305.8074472074727,99.99893872412287,845.8576544991075,-745418.7414664028,3.7230695966392644,1.6509144408509058,6.59210949517976e-05,
20,Temperature,0,1.0,0.0,20,305.8009687048469,58.22061565264919,4819.240256996022,-2788715.4020729717,3.387357928133003,1.999897236799782,0.0008721517853559495,
21,Temperature,0,1.0,0.0,21,305.78215838127363,157.66450993753028,200.22306891981893,-152224.87823682322,3.99997639642388,1.2704023270588447,1.4167573973012016e-05,
22,Temperature,0,1.0,0.0,22,305.7827628197525,155.08163349890614,237.75292594282718,-174412.22627062042,3.999827214550221,1.2976983723988407,0.0014084593859739311,
23,Temperature,0,1.0,0.0,23,305.7924449394364,43.94760193265927,6502.599866209097,-1068633.2041775985,3.3325221587615124,1.8714547594473123,0.0002623802548787372,
24,Temperature,0,1.0,0.0,24,305.8094907008196,78.24315763726852,7411.809748336478,-3936057.058059807,3.636669795969082,1.9997517739509931,0.0001179459756886308,
25,Temperature,0,1.0,0.0,25,305.79137975046325,47.09268325355582,3615.98594610703,-669505.5562867187,3.360176351407884,1.7764360426801036,0.0007028871573997206,
26,Temperature,0,1.0,0.0,26,305.7767742445846,177.16982741331242,74.02552058625463,-69750.16093596483,3.999808284013056,1.105729221202926,0.0010317561768751447,
27,Temperature,0,1.0,0.0,27,305.77970438421784,176.37198322405308,82.7864528934201,-81232.28775469618,3.999871734677495,1.1345504821089003,0.0011537713098176113,
28,Temperature,0,1.0,0.0,28,305.7827622351301,155.09548735724883,237.71931586406802,-174402.64751735036,3.999881337960142,1.2976712093295362,8.792166529139016e-08,
29,Temperature,0,1.0,0.0,29,305.78276341650803,155.07885997264418,237.7667635538305,-174418.76425898864,3.9998199370469205,1.2977086323059752,5.5259325559573536e-08,
30,Temperature,0,1.0,0.0,30,305.75536250249297,166.47913214853648,108.9732062478703,-71022.04917496449,3.999929339312804,1.1193587521142232,0.001711355431750582,
31,Temperature,0,1.0,0.0,31,305.79244562048797,43.938190928408424,6506.052254281994,-1068961.5257233377,3.332385185538413,1.8715532266816661,0.00026235295007784836,
32,Temperature,0,1.0,0.0,32,305.8029093798068,77.58248028602159,4894.013502559757,-3845860.4661728186,3.560845305556727,1.9998966718468691,0.0009797483433285317,
33,Temperature,0,1.0,0.0,33,305.74724053175737,162.65333812355266,100.9412806234403,-57733.767346695495,3.999945461543393,1.0846912964311337,0.0006559726941498722,
34,Temperature,0,1.0,0.0,34,305.7796996008836,176.40659612234447,82.75083101552227,-81210.08923050915,3.9999763385971363,1.134462852130272,0.00018227589075076536,
35,Temperature,0,1.0,0.0,35,305.7863768532086,127.3193247134599,545.2000298255748,-304684.96571176476,3.9210848522561257,1.4372897428963396,1.2025087634693687e-06,
36,Temperature,0,1.0,0.0,36,305.7871421069264,123.5215453859302,670.7289841512512,-357611.2044586705,3.911107407138479,1.4714905914612404,1.8101079141289645e-06,
37,Temperature,0,1.0,0.0,37,305.78276120949397,155.09784675681075,237.70183477525174,-174391.24495113973,3.999887800787998,1.297656332591338,5.447138931557528e-08,
38,Temperature,0,1.0,0.0,38,305.809375441678,73.69451081717239,6953.460293578658,-3659472.961911658,3.5923258803720612,1.9999911069552139,0.001501957007104424,
39,Temperature,0,1.0,0.0,39,305.7827615109867,155.09635525350765,237.70810718440666,-174393.90993629588,3.999883906572197,1.2976609639012526,0.0009714225079534979,
40,Temperature,0,1.0,0.0,40,305.77548716970693,181.143817129621,60.4818165005803,-59098.586066241296,3.9997464555810462,1.0717735073138204,0.0010347415068588828,
41,Temperature,0,1.0,0.0,41,305.7827611778014,155.08748735942666,237.72161846885348,-174392.95636118745,3.999848267026028,1.2976709342684516,0.001408513648535266,
42,Temperature,0,1.0,0.0,42,305.7893033139177,59.691271021660675,1335.1542253212112,-349575.86070086673,3.4726930450267313,1.6099526691941723,0.0002546445062702034,
43,Temperature,0,1.0,0.0,43,305.782162712492,157.62470394458649,200.32850436146327,-152270.3535215044,3.999832297118033,1.2705054220402796,0.000985693691348308,
44,Temperature,0,1.0,0.0,44,305.7871420640389,123.52052999300847,670.7318212192827,-357608.5631130215,3.9111028821783576,1.4714908095346693,1.8078225117502966e-06,
45,Temperature,0,1.0,0.0,45,305.7827611624918,155.0977494677148,237.7022886379496,-174391.14172158038,3.999887800787998,1.297656332591338,5.475664620765538e-08,
46,Temperature,0,1.0,0.0,46,305.7827621617969,155.09534799336785,237.71986935720724,-174402.49618039135,3.999881337960142,1.2976712093295362,1.019153533987704e-07,
47,Temperature,0,1.0,0.0,47,305.7827611813415,155.09767700970474,237.702143003272,-174391.04158697795,3.999887800787998,1.297656332591338,5.212672584432246e-08,
48,Temperature,0,1.0,0.0,48,305.78229813602604,171.03862814819465,115.90771599382579,-109778.39679743961,3.999931560345373,1.1946126239309138,0.0014896953270845481,
49,Temperature,0,1.0,0.0,49,305.78349172313915,151.64882469159798,301.5467198059286,-210197.97905043422,3.9998860685016195,1.334979125247069,0.000956403384368413,
50,Temperature,0,1.0,0.0,50,305.74153434105466,152.12577511596973,116.72398918481372,-55581.63268392193,3.99984806129513,1.0904425586242805,0.001223054184433676,
51,Temperature,0,1.0,0.0,51,305.755362504472,166.47906722484007,108.97321160289376,-71022.0181438462,3.999929339312804,1.1193587521142232,0.0017113553997185954,
52,Temperature,0,1.0,0.0,52,305.7918383591061,45.74666591905242,4612.174738828489,-812425.0289840581,3.348627768416817,1.8159018382119942,0.001674339082899117,
53,Temperature,0,1.0,0.0,53,305.8035802608005,152.76510813926024,1208.0664921153052,-1611727.7463254149,3.999963434275162,1.708385208133972,0.001261718668080609,
54,Temperature,0,1.0,0.0,54,305.7827602528569,155.1100268617991,237.672195934163,-174379.69264290147,3.9999408806968386,1.2976291452059097,0.0023797242771417867,
55,Temperature,0,1.0,0.0,55,305.77970353299634,176.39840130938515,82.76938963753526,-81227.45974688843,3.9999601053140337,1.1345109354326544,0.001590664000839103,
56,Temperature,0,1.0,0.0,56,305.7814724167502,175.87267075050408,88.93463621316593,-89616.0676778232,3.999897712308667,1.153112517195329,0.0015078871207927084,
57,Temperature,0,1.0,0.0,57,305.74966932820735,152.31186741818445,148.7334010331746,-75418.95269192396,3.99988739665762,1.1461592120314879,0.0005629545770546504,
58,Temperature,0,1.0,0.0,58,305.7827612571681,155.10696330624904,237.68947135910014,-174393.13249804886,3.9999254332253606,1.2976470705040741,0.0014083842201425326,
59,Temperature,0,1.0,0.0,59,305.784762066114,172.0808782487101,154.9149522147981,-149588.3377037926,3.999897452493316,1.2500207315353082,0.0005535539763347636,
60,Temperature,0,1.0,0.0,60,305.7821572307346,157.65151282510976,200.2289073383061,-152214.62031437442,3.9999225738458364,1.2704058189242557,0.000985681984934053,
61,Temperature,0,1.0,0.0,61,305.7827632947911,155.07877513762796,237.7671476431119,-174418.6672283984,3.9998199370469205,1.2977086323059752,5.532697655441865e-08,
62,Temperature,0,1.0,0.0,62,305.7914332228149,43.63229700208832,3711.820989122522,-741670.3439979077,3.246318590079186,1.8099463374593183,0.0006959504061740966,
63,Temperature,0,1.0,0.0,63,305.8089077437952,73.93033456371451,7687.826798793475,-3711385.9879376586,3.602276253014767,1.999978577357525,0.0009325228969940205,
64,Temperature,0,1.0,0.0,64,305.7421517255413,110.06839771355699,102.77913330712288,-37094.248636931494,3.759381766424971,1.07923127898919,0.0003814023408453327,
65,Temperature,0,1.0,0.0,65,305.7742896674406,132.26034986162807,812.272210208475,-397788.12743580696,3.9999908311583567,1.4771838459032849,0.0012788142305232442,
66,Temperature,0,1.0,0.0,66,305.7827625611443,155.08109299651545,237.7505455356986,-174408.4111754224,3.9998264204648883,1.2976950291294536,1.2013090776065159e-07,
67,Temperature,0,1.0,0.0,67,305.78357365847717,151.67618210329053,302.8176431997766,-211401.5529675888,3.9999987782597897,1.335991682507105,0.002359800755482822,
68,Temperature,0,1.0,0.0,68,305.787865348227,61.799479308463,574.2458310400499,-193436.2149550073,3.40323137024106,1.497297473316178,0.0006832110835429236,
69,Temperature,0,1.0,0.0,69,305.74514005723915,104.38335206435704,136.43893636135073,-46027.88866585677,3.7453039061781963,1.127594095589441,0.0005831756488584782,
70,Temperature,0,1.0,0.0,70,305.78276881736537,155.04912134340583,237.8892712482325,-174480.87403328542,3.999716006136442,1.297810490518228,2.6456902917704414e-07,
71,Temperature,0,1.0,0.0,71,305.7874166314848,194.5586320216966,42.15426290966483,-54676.9896954102,3.9999693959472076,1.0440593104599583,0.0025571783737472786,
72,Temperature,0,1.0,0.0,72,305.7842015006946,147.47902177035903,325.11105929929744,-221601.28930754447,3.9840232571655663,1.3499747777132143,0.0009758286710148967,
73,Temperature,0,1.0,0.0,73,305.7821608949143,157.66405707142982,200.24518354450652,-152244.1347433977,3.999981330457558,1.270426051727304,1.4283967185510306e-05,
74,Temperature,0,1.0,0.0,74,305.7827637890443,155.0737546218268,237.78221133543286,-174424.24072612592,3.9998016975610886,1.2977206759380167,1.1913502468034293e-07,
75,Temperature,0,1.0,0.0,75,305.78276348350533,155.07895406114875,237.76635484859756,-174418.8682311974,3.9998199370469205,1.2977086323059752,5.508326783679622e-08,
76,Temperature,0,1.0,0.0,76,305.7989530845976,148.10907327603604,444.716510008492,-362918.0310621269,3.9998968346942565,1.4408986126130738,0.0007579047301784549,
77,Temperature,0,1.0,0.0,77,305.80937245373104,73.68655737684558,6952.759638187784,-3658272.4774831035,3.5922556019702148,1.9999519512059116,9.371391935189477e-05,
78,Temperature,0,1.0,0.0,78,305.7842029984879,147.47084469131215,325.16298723100266,-221628.23989628183,3.9839904130940798,1.3500076552778415,0.0014040222216220068,
79,Temperature,0,1.0,0.0,79,305.78276140584256,155.09634088638768,237.7085118047102,-174393.90048155858,3.9998839065721974,1.2976609639012529,0.0009714188221228514,
80,Temperature,0,1.0,0.0,80,305.75437454746293,209.05815077803803,23.930225658359596,-23323.727971870085,3.9999367668773633,0.8733155546868449,0.003157316001479111,
81,Temperature,0,1.0,0.0,81,305.7871457278951,123.49977030806377,671.0494279028902,-357725.6709802455,3.9110052873167653,1.4715829860244383,1.7981297720828781e-06,
82,Temperature,0,1.0,0.0,82,305.7827639160324,155.07396070695205,237.78134819459984,-174424.4660669192,3.9998016975610886,1.2977206759380167,8.036330599108837e-08,
83,Temperature,0,1.0,0.0,83,305.7909758556656,45.181722293457256,2775.260604480215,-589055.9007765267,3.2607940486666642,1.7624041211672639,0.0021063180676757524,
84,Temperature,0,1.0,0.0,84,305.8046909120465,163.89619486103726,231.92645089638063,-321406.79820261727,3.9999088584605182,1.400991046215367,0.0012355916716340581,
85,Temperature,0,1.0,0.0,85,305.78276020721796,155.08836023884336,237.70977365702922,-174381.2574755072,3.9998539764084846,1.2976575146805969,0.0009715128492429446,
86,Temperature,0,1.0,0.0,86,305.8062642483217,106.05030041179397,4486.886550733332,-5349461.9017851325,3.7859846251130893,1.9999530605458857,0.0013128234926068228,
87,Temperature,0,1.0,0.0,87,305.7835736763891,151.67618422594185,302.8175437756337,-211401.55250889767,3.9999987782597897,1.335991682507105,0.0023598053234923535,
88,Temperature,0,1.0,0.0,88,305.7827604407673,155.09634033552098,237.69663560966657,-174384.22933595383,3.999881008518333,1.2976508323427103,1.0610610754689692e-07,
89,Temperature,0,1.0,0.0,89,305.792240258635,166.64850233612322,296.1583212698438,-311731.70861474524,3.999889380896632,1.3897108439451942,0.001516787117144325,
90,Temperature,0,1.0,0.0,90,305.7913794576601,47.09557587188183,3615.4933033940597,-669459.3936073482,3.3602137869498865,1.7764112172112076,0.00026853616048391917,
91,Temperature,0,1.0,0.0,91,305.7855304640436,167.9639310276062,200.5666898705428,-183174.60090720188,3.9999218590551555,1.290696573178437,0.0005296385374584085,
92,Temperature,0,1.0,0.0,92,305.78644557957955,101.08017089157666,367.86848248402316,-193786.80056612412,3.69787168300926,1.3995725444049025,0.0004829144806973417,
93,Temperature,0,1.0,0.0,93,305.75722652962935,156.5557224101676,89.43915726246188,-49931.4308061352,3.999969967945937,1.0665430309517447,0.0010967724030015598,
94,Temperature,0,1.0,0.0,94,305.8080205128131,93.78217086123232,1386.3857555715736,-1098475.6685338824,3.69728096045557,1.7330221109297426,6.491098290137886e-05,
95,Temperature,0,1.0,0.0,95,305.77677467803665,177.16976267468996,74.02639782842542,-69751.46424746886,3.999807932499512,1.1057327232971441,0.0010317719723848561,
96,Temperature,0,1.0,0.0,96,305.8174731993278,132.92219101218063,849.328861574804,-6736315.681509291,3.908948792974124,1.9997813184264408,0.0017364735361070657,
97,Temperature,0,1.0,0.0,97,305.8069748911547,69.24682250766212,11769.54704990315,-3495342.6886661816,3.654161203440808,1.9999712208984424,0.0009794326334297023,
98,Temperature,0,1.0,0.0,98,305.80609973147176,108.11656911699812,4872.1560903706695,-5492149.543168796,3.802483370201823,1.999955898671761,0.0013465168915327906,
99,Temperature,0,1.0,0.0,99,305.8047137331261,164.65189172637048,310.84022524552677,-411558.23434630554,3.9998449176371635,1.4448992633009496,0.0010166061602137875,
100,Temperature,0,1.0,0.0,100,305.7909756748501,45.17422768307071,2776.2677007358443,-589165.0251342003,3.260691325038957,1.762471296426029,0.0006979194874562238,
101,Temperature,0,1.0,1.0,0,305.7916766535411,31.399087403543046,10094.390341807322,-1454008.220698158,3.0398221437846793,1.999686529978941,0.001224027666607063,
102,Temperature,0,1.0,1.0,1,305.78773721416707,57.17315700247226,288.74871121308047,-111320.59555404507,3.3044364235900616,1.4135592714315082,1.4604321120321007e-05,
103,Temperature,0,1.0,1.0,2,305.7916542645589,31.493326773843144,9844.288115543042,-1424845.5355860589,3.0412846432447336,1.9955056437705057,8.138873226449188e-08,
104,Temperature,0,1.0,1.0,3,305.7916798007337,31.395470676290483,10103.77727689389,-1455379.584084536,3.039748852303858,1.9998844596438978,0.0006047481488443368,
105,Temperature,0,1.0,1.0,4,305.7916559311962,32.401631052311146,8980.918273535066,-1347849.2973700932,3.0566342597733236,1.9794781181243173,9.318648321914974e-06,
106,Temperature,0,1.0,1.0,5,305.6867210492649,114.9396552916828,37.93485729413581,-11184.719760685732,3.737451533856806,0.8507515142514122,8.569269106152677e-05,
107,Temperature,0,1.0,1.0,6,305.79165959465314,31.466176098032697,9884.249348420764,-1429819.3729805367,3.0407241411543904,1.9963234495673687,7.650501867139816e-08,
108,Temperature,0,1.0,1.0,7,305.7916493211911,32.43702761882104,8843.781099557462,-1331825.06941368,3.056894531137636,1.9772073694799048,9.396962849624496e-06,
109,Temperature,0,1.0,1.0,8,305.92109599431456,87.270938352984,-3.4657366438199544,-899.7900869024639,2.788295151665879,0.44800955668158227,0.0018187548101856862,
110,Temperature,0,1.0,1.0,9,305.79167754625905,31.398061628379224,10097.536398726947,-1454410.4316551816,3.0398064001980227,1.9997431988477108,2.0926383682207917e-08,
111,Temperature,0,1.0,1.0,10,305.7861998434037,55.215148103035396,273.7492231287208,-100308.020474988,3.2769568338262265,1.4013517172763363,6.580608475991363e-05,
112,Temperature,0,1.0,1.0,11,305.786194924228,55.211159275494886,273.69823079056056,-100273.64836326332,3.2769041670656076,1.4013032488268935,6.590282731956016e-05,
113,Temperature,0,1.0,1.0,12,305.78562578150536,59.91401534692256,230.43011508621512,-89834.1247033227,3.3268297275794865,1.3648283819981142,1.913277589149289e-05,
114,Temperature,0,1.0,1.0,13,305.7916785641739,31.40389777797968,10089.273180256812,-1453429.6745800779,3.039932719285809,1.9995819621030522,1.6846403044292716e-07,
115,Temperature,0,1.0,1.0,14,306.9363075621327,-1.6037400992169724,-8.869999636278253,17.65801307934117,0.5,0.25,0.0024267624337930872,
116,Temperature,0,1.0,1.0,15,305.7916768467899,31.395862296038608,10098.540411045758,-1454446.0180029436,3.0397624793983926,1.9997621972784234,0.0011634572004201947,
117,Temperature,0,1.0,1.0,16,305.7928972761273,33.20009428566378,9574.421127878562,-1543809.3709802693,3.067461039007263,1.9998634528222106,5.283378534194182e-05,
118,Temperature,0,1.0,1.0,17,305.7887931627302,20.512715778364143,8532.371005502064,-862325.7566852049,2.7818707964236338,1.9999538623907631,0.00040222852640566675,
119,Temperature,0,1.0,1.0,18,305.79285466440797,33.19506831930796,9604.781778804705,-1569447.0614461966,3.066743209295078,1.9999138708800919,9.91204264471604e-05,
120,Temperature,0,1.0,1.0,19,305.79278588957675,32.859233143377566,9529.82273937386,-1550818.5418075814,3.0595254364252464,1.999967127267156,0.0006980869122082597,
121,Temperature,0,1.0,1.0,20,305.7918810662706,32.699169525776256,10304.61958791681,-1552814.0185771221,3.06448127550666,1.999904615572897,7.386466765863755e-05,
122,Temperature,0,1.0,1.0,21,305.7916774683557,31.39960825094561,10094.323764028493,-1454068.8715468997,3.0398320646142216,1.9996913467185382,0.00116341774726773,
123,Temperature,0,1.0,1.0,22,306.94785390047895,-1.6152516359784426,-8.939360169602352,17.746198870413174,0.5,0.25,0.0024291109471125377,
124,Temperature,0,1.0,1.0,23,305.7916772481582,31.391337268258283,10106.16017465454,-1455241.3051519124,3.0396824781515877,1.9998899683209297,0.0011635793692455685,
125,Temperature,0,1.0,1.0,24,305.788793071652,20.512175886774344,8530.292602693882,-861802.8278818547,2.781902215837504,1.9998428123048626,0.00040206747854671184,
126,Temperature,0,1.0,1.0,25,305.79278383260186,32.85631583220978,9521.647447770314,-1549668.8076295455,3.0594284627550303,1.9998542985902532,0.0007051838773298659,
127,Temperature,0,1.0,1.0,26,305.78774465470593,57.14865077032685,289.1688012015579,-111452.7634526537,3.3042080336345414,1.4138636058127858,1.5249889241303016e-05,
128,Temperature,0,1.0,1.0,27,305.7879410839687,18.784240024366046,9362.883126215227,-780582.7276691679,2.745146495281718,1.9998123487350967,0.0003749557444868081,
129,Temperature,0,1.0,1.0,28,305.79165996426167,32.37107823083391,9016.204648700701,-1351935.483207362,3.056054916052548,1.9802243695209842,9.444773012782816e-06,
130,Temperature,0,1.0,1.0,29,305.78261323104095,156.28814386408334,227.68685025671212,-169468.61217864777,3.9999817175761527,1.29097021425207,0.0020951487449590122,
131,Temperature,0,1.0,1.0,30,305.79188134733647,32.69540434047763,10307.916876034535,-1553170.8700717126,3.064406534917543,1.9999709409959476,7.406274684484863e-05,
132,Temperature,0,1.0,1.0,31,305.92105867601083,87.13342389207253,-3.4691883968594524,-898.962422149778,2.787711531731869,0.44817589672765945,0.0018158672018076297,
133,Temperature,0,1.0,1.0,32,305.7848070690661,148.88096516091449,383.8452402420913,-259448.0178806414,3.99986263489013,1.3760015902334541,0.0020869963772870577,
