             QOI  subset    p    s    b       beta0        beta1          beta2        beta12    gamma1    gamma2     objective  p-value
0    Temperature       0  1.0  0.0    0  305.782762   155.088566     237.734171 -1.744051e+05  3.999855  1.297682  2.379771e-03      NaN
1    Temperature       0  1.0  0.0    1  305.799414    58.049312    6236.103544 -2.817143e+06  3.382587  1.999728  1.075884e-03      NaN
2    Temperature       0  1.0  0.0    2  305.784762   172.081009     154.914494 -1.495884e+05  3.999897  1.250021  5.535455e-04      NaN
3    Temperature       0  1.0  0.0    3  305.745265   167.359210      80.583982 -4.824681e+04  3.999841  1.047449  6.742342e-04      NaN
4    Temperature       0  1.0  0.0    4  305.784762   172.080934     154.914799 -1.495884e+05  3.999897  1.250021  5.535635e-04      NaN
5    Temperature       0  1.0  0.0    5  305.809242    70.455062    6631.622814 -3.461176e+06  3.559371  1.999958  1.051003e-03      NaN
6    Temperature       0  1.0  0.0    6  305.809681    75.957979    6799.251510 -3.768216e+06  3.610727  1.999453  1.476602e-03      NaN
7    Temperature       0  1.0  0.0    7  305.733508   168.366899      60.258112 -3.329168e+04  3.999819  0.978268  1.251987e-03      NaN
8    Temperature       0  1.0  0.0    8  305.720968   169.427317      46.557879 -2.395761e+04  3.999823  0.916738  1.387611e-03      NaN
9    Temperature       0  1.0  0.0    9  305.787146   123.499805     671.049580 -3.577258e+05  3.911005  1.471583  1.801277e-06      NaN
10   Temperature       0  1.0  0.0   10  305.759117   159.479610      83.736040 -4.954412e+04  3.999551  1.062366  9.963905e-04      NaN
11   Temperature       0  1.0  0.0   11  305.779794    30.379319   10176.166284 -1.404396e+06  2.988013  1.999907  3.772468e-04      NaN
12   Temperature       0  1.0  0.0   12  305.782760   155.100051     237.681677 -1.743764e+05  3.999894  1.297638  1.030678e-07      NaN
13   Temperature       0  1.0  0.0   13  305.788698    23.326736   13178.835869 -1.059541e+06  2.918632  1.999668  4.619723e-04      NaN
14   Temperature       0  1.0  0.0   14  305.809372    73.686468    6952.793654 -3.658268e+06  3.592256  1.999952  9.371182e-05      NaN
15   Temperature       0  1.0  0.0   15  305.777857   160.743811     356.726992 -2.934706e+05  3.999952  1.385078  3.001961e-03      NaN
