,QOI,subset,p,s,b,beta0,beta1,gamma1,objective,p-value
0,Temperature,0,1.0,0.0,0,305.6300525998257,2.2113589601601906,1.055178493923611,0.013372228323694904,
1,Temperature,0,1.0,0.0,1,305.764916018149,3.218466721989545,1.5774414062500004,0.00814027565356055,
2,Temperature,0,1.0,0.0,2,305.67003473092814,2.2398999542683686,1.121421983506944,0.008048662127120843,
3,Temperature,0,1.0,0.0,3,305.58125373126444,2.247008268419586,0.9715209960937499,0.004925542639136215,
4,Temperature,0,1.0,0.0,4,305.7378426899864,2.6525028310186296,1.3656168619791667,0.00919728160218362,
5,Temperature,0,1.0,0.0,5,305.35697965110785,1.9096836179363836,0.6199842664930555,0.011493472169246373,
6,Temperature,0,1.0,0.0,6,305.5256732793151,2.1953377201205084,0.8846842447916667,0.003052199406234625,
7,Temperature,0,1.0,0.0,7,305.63143140224736,2.3545983530264576,1.0996921115451388,0.008441998629423185,
8,Temperature,0,1.0,0.0,8,305.6314293951155,2.3546079899210306,1.0996921115451388,0.008147412188808777,
9,Temperature,0,1.0,0.0,9,305.7169607544242,2.3502869510869737,1.236366102430556,0.011549770967061192,
10,Temperature,0,1.0,0.0,10,305.50681024280027,2.0198711592621197,0.8347981770833333,0.011230922109149425,
11,Temperature,0,1.0,0.0,11,305.63242440417474,2.35937248079926,1.1030042860243057,0.006718499436387819,
12,Temperature,0,1.0,0.0,12,305.5921387651527,2.1878106802335857,0.9694132486979163,0.007602615753792416,
13,Temperature,0,1.0,0.0,13,305.65734619155705,2.3098760169818533,1.1352701822916669,0.006385957746962015,
14,Temperature,0,1.0,0.0,14,305.5614835716684,2.1338605179802177,0.9338324652777776,0.0054160543788100615,
15,Temperature,0,1.0,0.0,15,305.56347012348715,2.1096570034121886,0.9321261935763886,0.006077363863397066,
16,Temperature,0,1.0,0.0,16,305.65448367992843,2.5160395213146436,1.1886827256944446,0.006096522721066972,
17,Temperature,0,1.0,0.0,17,305.6810389961796,2.246033101110328,1.1092271592881944,0.008527607484366276,
18,Temperature,0,1.0,0.0,18,305.7133623201373,2.5977257182736326,1.3006998697916665,0.01305656661680161,
19,Temperature,0,1.0,0.0,19,305.6300525519662,2.2113590447424607,1.055178493923611,0.011079228080839361,
20,Temperature,0,1.0,0.0,20,305.6544370774066,2.114644893582625,1.0421807183159721,0.006778012085727605,
21,Temperature,0,1.0,0.0,21,305.6335347576815,1.9680260231249012,0.964846462673611,0.009056184289330721,
22,Temperature,0,1.0,0.0,22,305.6068855705488,2.0181979533474026,0.9332302517361108,0.008969702176257963,
23,Temperature,0,1.0,0.0,23,305.554670833751,1.990038464114465,0.8626302083333335,0.006297428115668605,
24,Temperature,0,1.0,0.0,24,305.4619467874816,1.9752678693445582,0.7501953124999997,0.005738165488133993,
25,Temperature,0,1.0,0.0,25,305.6144524631924,2.075286335512266,0.9933010525173607,0.009539104090608439,
26,Temperature,0,1.0,0.0,26,305.6300526504231,2.211358660731088,1.055178493923611,0.012506357183400242,
27,Temperature,0,1.0,0.0,27,305.65255761821754,2.0272013585603332,0.997014702690972,0.012600098278510791,
28,Temperature,0,1.0,0.0,28,305.6524368394315,2.212504017250926,1.0561821831597222,0.00827783189920158,
29,Temperature,0,1.0,0.0,29,305.76202478787246,2.8706292668386726,1.4576171875,0.005068080329812258,
30,Temperature,0,1.0,0.0,30,305.4691122994437,1.955130921684252,0.7408854166666664,0.011413190800114955,
31,Temperature,0,1.0,0.0,31,305.62477019330055,2.161519408988253,1.0333482530381943,0.013336331087245766,
32,Temperature,0,1.0,0.0,32,305.7001116425612,2.5309435476260407,1.2641764322916669,0.011851745423152548,
33,Temperature,0,1.0,0.0,33,305.52367370393665,1.9802839693631753,0.8213704427083334,0.005695965886689208,
34,Temperature,0,1.0,0.0,34,305.66717581732456,2.247732198478553,1.0993910047743056,0.007111183970651455,
35,Temperature,0,1.0,0.0,35,305.655849518487,2.0885188368955263,1.0550781249999999,0.007930211750050147,
36,Temperature,0,1.0,0.0,36,305.7722711391096,2.825487780344569,1.4814127604166667,0.009558337653392885,
37,Temperature,0,1.0,0.0,37,305.5358868068659,1.9877451638459305,0.8321126302083334,0.007337298333113193,
38,Temperature,0,1.0,0.0,38,305.5844834508424,2.295510084413293,1.0087578667534722,0.007685010275915832,
39,Temperature,0,1.0,0.0,39,305.64238875469385,2.346199858045055,1.1101453993055554,0.009971924449629141,
