             QOI  subset    p    s    b       beta0     beta1    gamma1  objective  p-value
0    Temperature       0  1.0  0.0    0  305.630053  2.211359  1.055178   0.013372      NaN
1    Temperature       0  1.0  0.0    1  305.764916  3.218467  1.577441   0.008140      NaN
2    Temperature       0  1.0  0.0    2  305.670035  2.239900  1.121422   0.008049      NaN
3    Temperature       0  1.0  0.0    3  305.581254  2.247008  0.971521   0.004926      NaN
4    Temperature       0  1.0  0.0    4  305.737843  2.652503  1.365617   0.009197      NaN
5    Temperature       0  1.0  0.0    5  305.356980  1.909684  0.619984   0.011493      NaN
6    Temperature       0  1.0  0.0    6  305.525673  2.195338  0.884684   0.003052      NaN
7    Temperature       0  1.0  0.0    7  305.631431  2.354598  1.099692   0.008442      NaN
8    Temperature       0  1.0  0.0    8  305.631429  2.354608  1.099692   0.008147      NaN
9    Temperature       0  1.0  0.0    9  305.716961  2.350287  1.236366   0.011550      NaN
10   Temperature       0  1.0  0.0   10  305.506810  2.019871  0.834798   0.011231      NaN
11   Temperature       0  1.0  0.0   11  305.632424  2.359372  1.103004   0.006718      NaN
12   Temperature       0  1.0  0.0   12  305.592139  2.187811  0.969413   0.007603      NaN
13   Temperature       0  1.0  0.0   13  305.657346  2.309876  1.135270   0.006386      NaN
14   Temperature       0  1.0  0.0   14  305.561484  2.133861  0.933832   0.005416      NaN
15   Temperature       0  1.0  0.0   15  305.563470  2.109657  0.932126   0.006077      NaN
16   Temperature       0  1.0  0.0   16  305.654484  2.516040  1.188683   0.006097      NaN
17   Temperature       0  1.0  0.0   17  305.681039  2.246033  1.109227   0.008528      NaN
18   Temperature       0  1.0  0.0   18  305.713362  2.597726  1.300700   0.013057      NaN
19   Temperature       0  1.0  0.0   19  305.630053  2.211359  1.055178   0.011079      NaN
20   Temperature       0  1.0  0.0   20  305.654437  2.114645  1.042181   0.006778      NaN
21   Temperature       0  1.0  0.0   21  305.633535  1.968026  0.964846   0.009056      NaN
22   Temperature       0  1.0  0.0   22  305.606886  2.018198  0.933230   0.008970      NaN
23   Temperature       0  1.0  0.0   23  305.554671  1.990038  0.862630   0.006297      NaN
24   Temperature       0  1.0  0.0   24  305.461947  1.975268  0.750195   0.005738      NaN
25   Temperature       0  1.0  0.0   25  305.614452  2.075286  0.993301   0.009539      NaN
26   Temperature       0  1.0  0.0   26  305.630053  2.211359  1.055178   0.012506      NaN
27   Temperature       0  1.0  0.0   27  305.652558  2.027201  0.997015   0.012600      NaN
28   Temperature       0  1.0  0.0   28  305.652437  2.212504  1.056182   0.008278      NaN
29   Temperature       0  1.0  0.0   29  305.762025  2.870629  1.457617   0.005068      NaN
30   Temperature       0  1.0  0.0   30  305.469112  1.955131  0.740885   0.011413      NaN
31   Temperature       0  1.0  0.0   31  305.624770  2.161519  1.033348   0.013336      NaN
32   Temperature       0  1.0  0.0   32  305.700112  2.530944  1.264176   0.011852      NaN
33   Temperature       0  1.0  0.0   33  305.523674  1.980284  0.821370   0.005696      NaN
34   Temperature       0  1.0  0.0   34  305.667176  2.247732  1.099391   0.007111      NaN
35   Temperature       0  1.0  0.0   35  305.655850  2.088519  1.055078   0.007930      NaN
36   Temperature       0  1.0  0.0   36  305.772271  2.825488  1.481413   0.009558      NaN
37   Temperature       0  1.0  0.0   37  305.535887  1.987745  0.832113   0.007337      NaN
38   Temperature       0  1.0  0.0   38  305.584483  2.295510  1.008758   0.007685      NaN
39   Temperature       0  1.0  0.0   39  305.642389  2.346200  1.110145   0.009972      NaN
40   Temperature       0  1.0  0.0   40  305.558499  1.838005  0.800374   0.011383      NaN
41   Temperature       0  1.0  0.0   41  305.673186  2.479268  1.198470   0.004395      NaN
42   Temperature       0  1.0  0.0   42  305.673548  2.248894  1.138851   0.004896      NaN
43   Temperature       0  1.0  0.0   43  305.343074  1.967199  0.636456   0.012395      NaN
44   Temperature       0  1.0  0.0   44  305.728969  2.554462  1.314605   0.008065      NaN
45   Temperature       0  1.0  0.0   45  305.571082  2.111338  0.915446   0.004905      NaN
46   Temperature       0  1.0  0.0   46  305.646104  2.211359  1.055178   0.005423      NaN
47   Temperature       0  1.0  0.0   47  305.662834  2.401815  1.160574   0.005775      NaN
48   Temperature       0  1.0  0.0   48  305.553397  1.988051  0.860107   0.007206      NaN
49   Temperature       0  1.0  0.0   49  305.598436  1.973692  0.907878   0.010940      NaN
50   Temperature       0  1.0  0.0   50  305.563280  2.159354  0.921989   0.014177      NaN
51   Temperature       0  1.0  0.0   51  305.562491  2.065227  0.902018   0.007419      NaN
52   Temperature       0  1.0  0.0   52  305.732650  2.593235  1.335181   0.005941      NaN
53   Temperature       0  1.0  0.0   53  305.630053  2.211359  1.055178   0.009488      NaN
54   Temperature       0  1.0  0.0   54  305.555856  2.073718  0.872507   0.011901      NaN
55   Temperature       0  1.0  0.0   55  305.726372  2.740085  1.373088   0.009445      NaN
56   Temperature       0  1.0  0.0   56  305.618519  2.320435  1.048805   0.011674      NaN
57   Temperature       0  1.0  0.0   57  305.654206  2.387496  1.143152   0.004796      NaN
58   Temperature       0  1.0  0.0   58  305.716973  2.350390  1.236426   0.008674      NaN
59   Temperature       0  1.0  0.0   59  305.630053  2.211357  1.055178   0.007063      NaN
