#timestep Tavg_z0.001_t1 Tavg_z0.001_t5 Tavg_z0.001_t6 Tavg_z0.001_t12 Tavg_z0.006_t1 Tavg_z0.006_t5 Tavg_z0.006_t6 Tavg_z0.006_t12 Tavg_z0.03_t1 Tavg_z0.03_t5 Tavg_z0.03_t6 Tavg_z0.03_t12 Tavg_z0.045_t1 Tavg_z0.045_t5 Tavg_z0.045_t6 Tavg_z0.045_t12 Tavg_z0.0517_t1 Tavg_z0.0517_t5 Tavg_z0.0517_t6 Tavg_z0.0517_t12
0.006 300.0011608214855 300.0054291903903 300.0063025948493 300.0116379892188 306.99145683886104 333.19036089354506 338.4951110474759 371.24988025201185 301.225107786849 305.9320741955836 307.00597639264976 312.9154815033299 300.6856329001242 303.4784079277757 303.66562514553823 307.1288416486907 300.51548282388785 302.62385736963165 302.6315360368872 305.0717642540971
0.00424 300.00115821164735 300.0054116914109 300.00640521735437 300.01177387724346 306.9706649052657 333.1225499923752 339.2268653788634 372.22925992489877 301.2487566463059 306.1001361030309 307.2325329676638 313.354741592885 300.76454674342995 303.79272765886236 304.49956026213397 308.32097739307335 300.6251418443479 303.12224341146845 303.7051119236574 306.85633335064375
0.003 300.00115462287613 300.00539770734235 300.0063829173312 300.0117406713773 306.948142970338 333.03896097471585 339.0961013605747 372.0264052347428 301.24470450537206 306.0847521056127 307.20838963885643 313.3172033286544 300.76206527061794 303.78316424513736 304.4845295437598 308.29758308782186 300.62311101393016 303.11437110100775 303.6927319435811 306.83705471473877
0.00212 300.001161673357 300.0054234245586 300.0064142518251 300.0117904940256 306.98981926992434 333.19479949368434 339.28213547478583 372.338081981148 301.2523388999962 306.1135642885914 307.24281179622056 313.37494772356683 300.7667506343086 303.80108054460953 304.50594513350137 308.333568134854 300.6269466757025 303.1291214434946 303.71036830703554 306.8667098337116
0.0015 300.0011642056221 300.00542442315265 300.0064158770315 300.01179120316783 307.0089396546511 333.2039357350223 339.29674614364626 372.35356562680363 301.2554884479627 306.11490116381566 307.24517473827746 313.3775246043046 300.768713044894 303.801912480436 304.50741838205386 308.335175362686 300.6285647110534 303.1298072607293 303.7115829990375 306.86803679333326
0.00106 300.00116379362817 300.00542429313435 300.0064164240304 300.01179120957966 307.00880789713875 333.2088892249143 339.3048922164271 372.35907436329717 301.2555132992969 306.1158630001714 307.2467235039267 313.378574160279 300.7687261404623 303.8025142120608 304.50838507179117 308.33582956523884 300.6285746318383 303.1303030669897 303.7123809633312 306.86857610297864
0.00075 300.0011637508026 300.00542330817166 300.00641433603465 300.0117894984767 307.0091998395772 333.2125656468809 339.3005741781629 372.3630973549663 301.2555315553708 306.1164967720215 307.24587078654 313.3792803743736 300.7687345592827 303.8029064204265 304.50785126413365 308.33627227906237 300.6285815696643 303.1306273084744 303.7119402466076 306.8689432510284
0.00053 300.0011642913696 300.0054232078577 300.0064137323736 300.0117874336789 307.0111432054124 333.2162979566278 339.30678638743103 372.3672742303659 301.2559214849572 306.1172110623626 307.2470519626029 313.3800784110037 300.7689770192211 303.80335216880616 304.50859126092814 308.3367752894289 300.6287822670075 303.1309956707798 303.7125509491431 306.86935946562124
0.00037 300.00116450771634 300.0054225528009 300.0064133659595 300.0117856838627 307.0130148153193 333.21846757535906 339.30901918396296 372.36979649248843 301.2562883115728 306.1176339350465 307.2474864203732 313.3805467202657 300.7692058200554 303.80361822281856 304.50886283580144 308.33706426084007 300.62896996803215 303.13121685118875 303.71277848243074 306.8696002512525
0.00027 300.00116443614047 300.00542194988293 300.006411783594 300.0117832728213 307.0140573947937 333.22129420241464 339.31132994864953 372.3725951427631 301.2565038514133 306.11817327204204 307.2479314230643 313.3810976652651 300.76934033034996 303.80395441250477 304.50913947819714 308.3374150422109 300.62908035273296 303.1314951083238 303.7130068561419 306.8698935726424
