,QOI,subset,parameter,median,mean,lower bound,upper bound,p-value,MAD,boot sd
0,Tavg_z0.001_t1,0,beta0,300.0011658417754,300.00116769723235,300.0011514088403,300.00118692465196,,2.5154105003366567e-06,7.786654526043058e-06
1,Tavg_z0.001_t1,0,beta1,-0.00013247326703734526,-0.0258501208944841,-0.2920412455257823,0.00010459719240405309,,0.0001384670666474513,0.08461188814845295
2,Tavg_z0.001_t1,0,gamma1,0.43906249999999997,0.756520788122107,0.25,2.0,,0.18906249999999997,0.615580766470622
3,Tavg_z0.001_t5,0,beta0,300.00542206058395,300.0054213638184,300.00536225061273,300.0054796848528,,5.4828491613534425e-06,2.4498762394599957e-05
4,Tavg_z0.001_t5,0,beta1,4.767253179174184e-05,-0.005752114500207074,-0.5930929649379758,0.24212550054749704,,0.0004292391303380921,0.284850240922999
5,Tavg_z0.001_t5,0,gamma1,0.4888454861111111,0.9735597330729168,0.25,2.0,,0.23884548611111112,0.7839737518677106
6,Tavg_z0.001_t6,0,beta0,300.0064186568649,300.0064181696831,300.0062735333387,300.00652080198586,,5.235195516206659e-06,4.711920761931164e-05
7,Tavg_z0.001_t6,0,beta1,-0.4635758138828623,-1.1995025480755146,-3.350068974359968,0.001012314232945029,,0.46407429669030065,1.3045632978749926
8,Tavg_z0.001_t6,0,gamma1,1.8293592664930554,1.4007512975622107,0.25,2.0,,0.17064073350694464,0.7232357125353177
9,Tavg_z0.001_t12,0,beta0,300.0117935102058,300.01178992201096,300.0116091605235,300.01191095552474,,1.2263927715139289e-05,6.946972705690674e-05
10,Tavg_z0.001_t12,0,beta1,-0.19362554423494924,-1.393632038878411,-4.547791648524153,0.0035520683160519943,,0.19559099143044378,1.7561055527125495
11,Tavg_z0.001_t12,0,gamma1,1.45906982421875,1.22219558263708,0.25,2.0,,0.5409301757812499,0.7491188146297199
12,Tavg_z0.006_t1,0,beta0,307.0247414881751,307.0365081856516,306.9600272121488,307.15763413661284,,0.013654819746989233,0.04985463743294454
13,Tavg_z0.006_t1,0,beta1,-0.8562890869127909,-107.19757948573198,-1686.1205549190072,0.42892554392308374,,0.8095113043917004,492.8716728192425
14,Tavg_z0.006_t1,0,gamma1,0.375173611111111,0.6696365175600407,0.25,2.0,,0.12517361111111103,0.5357772442903881
15,Tavg_z0.006_t5,0,beta0,333.2302288118908,333.25315395951094,332.9600747594462,333.6524843977477,,0.03438853972704692,0.14900492503757895
16,Tavg_z0.006_t5,0,beta1,-1.716875795882899,-375.5136347813182,-4949.056221187022,1.9108021379297697,,1.5092112888896398,1471.5610506570306
17,Tavg_z0.006_t5,0,gamma1,0.3521891276041667,0.656880814163773,0.25,2.0,,0.10218912760416671,0.5574274863244283
18,Tavg_z0.006_t6,0,beta0,339.3319953801182,339.37804013035674,338.76402761015026,340.13423897120475,,0.021238705481124498,0.2579156296497702
19,Tavg_z0.006_t6,0,beta1,-13392.59624867288,-11990.091659049103,-23219.14154016523,3.632248101398477,,8866.31909927559,9691.372900801141
20,Tavg_z0.006_t6,0,gamma1,1.968359375,1.5422987964771422,0.25,2.0,,0.03164062500000009,0.6730638485126792
21,Tavg_z0.006_t12,0,beta0,372.3982071633171,372.4804634925436,371.9667219052351,373.5230097376938,,0.03882092806276205,0.3493817266670528
22,Tavg_z0.006_t12,0,beta1,-15205.118863305554,-14557.38121524591,-33505.340190702824,4.765423105334824,,13555.067683581443,13341.898752971378
23,Tavg_z0.006_t12,0,gamma1,1.909326171875,1.492732710661712,0.25,2.0,,0.09067382812499991,0.6774289025462263
24,Tavg_z0.03_t1,0,beta0,301.2565208060562,301.2573594764049,301.24463664148436,301.28209051510635,,0.000655066274418914,0.008349063467987429
25,Tavg_z0.03_t1,0,beta1,-553.8565240312121,-435.61999110777396,-926.6404673748899,0.15135220321595477,,302.0914353445947,344.67640161394536
26,Tavg_z0.03_t1,0,gamma1,1.9385253906249997,1.5802757726598664,0.25,2.0,,0.061474609375000266,0.6142686528731789
27,Tavg_z0.03_t5,0,beta0,306.1256127641914,306.13274382014134,305.97845492550186,306.28724979301614,,0.007078698317144472,0.061760081937180245
28,Tavg_z0.03_t5,0,beta1,-2686.6466977313094,-2526.7406948711123,-5479.279494492494,0.8848769149811351,,2452.491875875176,2146.942077967009
29,Tavg_z0.03_t5,0,gamma1,1.945068359375,1.5140790167914506,0.25,2.0,,0.054931640625,0.6827291036736448
30,Tavg_z0.03_t6,0,beta0,307.26074043542565,307.27305744764254,307.0332636313318,307.4902274815297,,0.012371802697373369,0.09090381443981634
31,Tavg_z0.03_t6,0,beta1,-3176.891023331038,-3226.910682667781,-7193.968222587242,1.3102048227841554,,3116.893728029847,2838.1081887434448
32,Tavg_z0.03_t6,0,gamma1,1.9337849934895834,1.4983782320375794,0.25,2.0,,0.06621500651041656,0.7013871098541979
33,Tavg_z0.03_t12,0,beta0,313.4044790563248,313.41134996838264,312.92523877223033,313.74793865370015,,0.022423444466198816,0.17181667812540458
34,Tavg_z0.03_t12,0,beta1,-4752.393393151212,-5618.832687563369,-13873.898849647323,2.665498330955754,,4749.462158873072,5258.3818625324175
35,Tavg_z0.03_t12,0,gamma1,1.9320800781249996,1.4970510039152927,0.25,2.0,,0.0679199218750004,0.6878383426117772
36,Tavg_z0.045_t1,0,beta0,300.7731445164463,300.7752842482436,300.68458041787585,300.84122221718746,,0.003747027785834689,0.030613346456229353
37,Tavg_z0.045_t1,0,beta1,-776.000878128903,-972.1641050289755,-2436.3062918157952,0.5005751231847769,,775.4733818774316,979.6740015857545
38,Tavg_z0.045_t1,0,gamma1,1.9248046874999998,1.4892305976019968,0.25,2.0,,0.07519531250000022,0.6833533459980059
39,Tavg_z0.045_t5,0,beta0,303.82247270297694,303.82892880239604,303.43098973214353,304.0658446640359,,0.018341398103956408,0.13678835003649312
40,Tavg_z0.045_t5,0,beta1,-2231.827026705886,-3628.4464302665856,-9742.301020150631,2.3273147927275,,2230.707083269041,3802.5358447433296
41,Tavg_z0.045_t5,0,gamma1,1.9038655598958334,1.4531660150598604,0.25,2.0,,0.09613444010416661,0.7066678562156288
42,Tavg_z0.045_t6,0,beta0,304.560389571943,304.5663434404816,303.3177531093836,305.31282363928443,,0.04940075076598305,0.3808401454305157
43,Tavg_z0.045_t6,0,beta1,-3090.7286157936132,-9152.93341969553,-24916.846696975972,7.231871053442348,,3094.7706648455332,9954.31160275711
44,Tavg_z0.045_t6,0,gamma1,1.8880750868055554,1.4823634474012592,0.25,2.0,,0.11192491319444464,0.6875846124292813
45,Tavg_z0.045_t12,0,beta0,308.41231271343315,308.46119250527676,306.8979226658833,309.585496386142,,0.07420646218534444,0.5045541429666076
46,Tavg_z0.045_t12,0,beta1,-3103.739364141593,-12302.788322901155,-35581.965205623565,8.468415038826523,,3108.2651571053157,14565.840966320975
47,Tavg_z0.045_t12,0,gamma1,1.854044596354167,1.4133184746636283,0.25,2.0,,0.14595540364583304,0.72319545038516
48,Tavg_z0.0517_t1,0,beta0,300.63620403229413,300.64150110885606,300.5248546259031,300.7328776376461,,0.00703390994655706,0.04223303434261963
49,Tavg_z0.0517_t1,0,beta1,-635.1071128449171,-1259.599583705928,-3403.327428965734,0.5729835441614429,,634.8764373856583,1354.7217639504088
50,Tavg_z0.0517_t1,0,gamma1,1.8854743109809031,1.4593625669126162,0.25,2.0,,0.11452568901909688,0.7003657360299739
51,Tavg_z0.0517_t5,0,beta0,303.1613989961542,303.1779578317475,302.50980549870775,303.70460498485454,,0.02953697963246782,0.21841945762876538
52,Tavg_z0.0517_t5,0,beta1,-1918.0964013170167,-5663.400012392105,-15401.35206023521,3.6694877569447772,,1919.8847418631628,6174.89871435859
53,Tavg_z0.0517_t5,0,gamma1,1.9015692816840275,1.4449264639395254,0.25,2.0,,0.0984307183159725,0.7134442665112665
54,Tavg_z0.0517_t6,0,beta0,303.7801965946584,303.8298653893268,302.33597329201314,304.92957710291756,,0.06702265247110972,0.4661488665661041
55,Tavg_z0.0517_t6,0,beta1,-2439.1540734213113,-11542.580049315387,-32994.04124404265,9.139400074986371,,2442.8251341842106,13135.061439555966
56,Tavg_z0.0517_t6,0,gamma1,1.926513671875,1.4626418507893875,0.25,2.0,,0.073486328125,0.7042497984590983
57,Tavg_z0.0517_t12,0,beta0,306.9763949602112,307.0017270393196,304.51966909416967,308.55555836506227,,0.10612462666901479,0.7974398714529476
58,Tavg_z0.0517_t12,0,beta1,-5569.381553206174,-19937.2191088142,-54315.46552564657,15.011143367612437,,5583.840450958236,21949.26653421616
59,Tavg_z0.0517_t12,0,gamma1,1.9261067708333333,1.4744317988642932,0.25,2.0,,0.07389322916666674,0.701505054551172
