,QOI,subset,p,s,b,beta0,beta1,gamma1,objective,p-value
0,Tavg_z0.001_t1,0,1.0,0.0,0,300.00116568801064,-0.00030104729454507597,0.7012803819444444,1.3022801123310146e-06,
1,Tavg_z0.001_t1,0,1.0,0.0,1,300.0011647814359,-0.19721954983478934,1.8763671874999994,1.3863240445000497e-06,
2,Tavg_z0.001_t1,0,1.0,0.0,2,300.00116546678373,-0.0018692211354224611,1.041829427083333,7.157920664494704e-07,
3,Tavg_z0.001_t1,0,1.0,0.0,3,300.00116476875627,-0.37087781000162295,2.0,1.0638097243042828e-06,
4,Tavg_z0.001_t1,0,1.0,0.0,4,300.00117147310687,-5.022211742775733e-05,0.25,9.873055278290787e-07,
5,Tavg_z0.001_t1,0,1.0,0.0,5,300.0011656879854,-0.00030104639005633626,0.7012803819444444,1.7245614240123629e-06,
6,Tavg_z0.001_t1,0,1.0,0.0,6,300.00116560084916,-0.0004582524681485106,0.7641601562499998,2.8705854176562295e-07,
7,Tavg_z0.001_t1,0,1.0,0.0,7,300.0011653094895,-0.000597262944685258,0.8369140625,1.3039403598814446e-06,
8,Tavg_z0.001_t1,0,1.0,0.0,8,300.00116559060046,-0.00037381251892020493,0.7387695312499998,9.579774112582596e-07,
9,Tavg_z0.001_t1,0,1.0,0.0,9,300.00117200512346,-5.2179359975659933e-05,0.25,5.720885181452657e-07,
10,Tavg_z0.001_t1,0,1.0,0.0,10,300.00116583701765,-0.0002058150357473652,0.6372043185763888,2.3455363069077237e-07,
11,Tavg_z0.001_t1,0,1.0,0.0,11,300.00116568802747,-0.0003010485598421547,0.7012803819444444,7.789902655984719e-07,
12,Tavg_z0.001_t1,0,1.0,0.0,12,300.00116360530654,-0.3385598328525684,2.0,1.2613734322345801e-06,
13,Tavg_z0.001_t1,0,1.0,0.0,13,300.0011659661066,-0.00026301369085506097,0.6684624565972221,1.1583633098217725e-06,
14,Tavg_z0.001_t1,0,1.0,0.0,14,300.0011690706045,-3.2302187180233136e-05,0.25,1.0331062118990235e-06,
15,Tavg_z0.001_t1,0,1.0,0.0,15,300.00116682927637,-7.579460596136235e-05,0.4444444444444444,5.369753751347472e-07,
16,Tavg_z0.001_t1,0,1.0,0.0,16,300.00116568802565,-0.0003010484257482313,0.7012803819444444,2.7916093301632123e-07,
17,Tavg_z0.001_t1,0,1.0,0.0,17,300.00116568801116,-0.00030104789000178275,0.7012803819444444,1.4251556401650788e-06,
18,Tavg_z0.001_t1,0,1.0,0.0,18,300.0011711415368,-4.695216389264848e-05,0.25,1.307955763981597e-06,
19,Tavg_z0.001_t1,0,1.0,0.0,19,300.001167358583,-7.605349196348797e-05,0.39661458333333327,1.4924558236610366e-06,
20,Tavg_z0.001_t1,0,1.0,0.0,20,300.00117745919437,-7.221417891440712e-05,0.25,1.3459782203321315e-06,
21,Tavg_z0.001_t1,0,1.0,0.0,21,300.0011660376438,-0.00022656482438766884,0.6404486762152777,1.0324121904760302e-06,
22,Tavg_z0.001_t1,0,1.0,0.0,22,300.00116692777283,-0.00017467463334839255,0.5702582465277776,5.427138875893164e-07,
23,Tavg_z0.001_t1,0,1.0,0.0,23,300.00117343603773,-5.481793235169313e-05,0.25,6.422347924048122e-07,
24,Tavg_z0.001_t1,0,1.0,0.0,24,300.0011652103472,-0.0002930560412962428,0.7224310980902777,1.0757426838931226e-06,
25,Tavg_z0.001_t1,0,1.0,0.0,25,300.00116516010434,-0.0010859121551267585,0.9648464626736108,5.678775951822703e-07,
26,Tavg_z0.001_t1,0,1.0,0.0,26,300.0011688370497,-3.1386921400597544e-05,0.25,2.1962134070186236e-06,
27,Tavg_z0.001_t1,0,1.0,0.0,27,300.0011649352572,-0.0009198841251583007,0.9150634765624999,5.660933372938799e-07,
28,Tavg_z0.001_t1,0,1.0,0.0,28,300.00116851563286,-4.3413434495152964e-05,0.2972656250000001,2.0517504352294547e-06,
29,Tavg_z0.001_t1,0,1.0,0.0,29,300.0011643291858,-0.2199190125400563,2.0,1.8505428880884078e-06,
30,Tavg_z0.001_t1,0,1.0,0.0,30,300.00116808230365,-0.00012491430961365953,0.4633680555555555,1.821770131247379e-06,
31,Tavg_z0.001_t1,0,1.0,0.0,31,300.00117295145975,-6.4729393822924e-05,0.2855957031250001,1.4661456914254383e-06,
32,Tavg_z0.001_t1,0,1.0,0.0,32,300.0011679246645,-0.0001450100940202328,0.5064236111111111,9.277307495909095e-07,
33,Tavg_z0.001_t1,0,1.0,0.0,33,300.0011668337722,-0.00011121820912135893,0.48940972222222223,1.7913823001670172e-06,
34,Tavg_z0.001_t1,0,1.0,0.0,34,300.0011711685066,-8.480676341218271e-05,0.35052083333333317,9.606498234935953e-07,
35,Tavg_z0.001_t1,0,1.0,0.0,35,300.0011658257263,-0.00021097109364941514,0.6423204210069444,3.3485492242579475e-07,
36,Tavg_z0.001_t1,0,1.0,0.0,36,300.00116549877276,-0.0004859216133962869,0.7921549479166667,6.14673796706588e-07,
37,Tavg_z0.001_t1,0,1.0,0.0,37,300.00116763844045,-2.4493600151206198e-05,0.25,1.6324075157607295e-06,
38,Tavg_z0.001_t1,0,1.0,0.0,38,300.0011639371579,-0.0012460265945330939,1.0250678168402776,8.624821266591289e-07,
39,Tavg_z0.001_t1,0,1.0,0.0,39,300.0011656683171,-0.0004109965073829003,0.7555338541666665,1.2660766361184114e-06,
40,Tavg_z0.001_t1,0,1.0,0.0,40,300.00116391027046,-0.004989662649567766,1.297059461805556,2.059749027345694e-06,
41,Tavg_z0.001_t1,0,1.0,0.0,41,300.00116700116746,-0.0008308636101215296,0.8710937500000001,1.1437840466242344e-06,
42,Tavg_z0.001_t1,0,1.0,0.0,42,300.0011696879895,-3.7350819168943e-05,0.25,6.392612136817313e-07,
43,Tavg_z0.001_t1,0,1.0,0.0,43,300.00116640915604,-0.00013177255778530506,0.5363796657986111,2.5619449490076863e-07,
44,Tavg_z0.001_t1,0,1.0,0.0,44,300.0011699107804,-5.4221084832457805e-05,0.2860351562500001,2.0012684998501902e-06,
45,Tavg_z0.001_t1,0,1.0,0.0,45,300.00116568800047,-0.00030104763233046575,0.7012803819444441,8.94072743934313e-07,
46,Tavg_z0.001_t1,0,1.0,0.0,46,300.00116564159947,-0.00035348097814778617,0.7266737196180555,1.2463855764665163e-06,
47,Tavg_z0.001_t1,0,1.0,0.0,47,300.0011654164671,-0.0004113900036727897,0.768798828125,1.874569649332398e-06,
48,Tavg_z0.001_t1,0,1.0,0.0,48,300.0011646230806,-0.0003744358296854613,0.7867838541666667,8.760127000309427e-07,
49,Tavg_z0.001_t1,0,1.0,0.0,49,300.00116919225644,-5.052394509226057e-05,0.30429687500000013,2.747701630754206e-07,
50,Tavg_z0.001_t1,0,1.0,0.0,50,300.0011666851013,-0.00014761513860368864,0.5398735894097222,1.4856632630639237e-06,
51,Tavg_z0.001_t1,0,1.0,0.0,51,300.00116654864115,-0.00012991530474658258,0.5334201388888888,1.176839679665152e-06,
52,Tavg_z0.001_t1,0,1.0,0.0,52,300.00116504604694,-0.0005331992186162858,0.8286946614583333,1.1815542951395063e-06,
53,Tavg_z0.001_t1,0,1.0,0.0,53,300.0011686924677,-3.08203250906724e-05,0.25,1.5771643172615125e-06,
54,Tavg_z0.001_t1,0,1.0,0.0,54,300.00117401813026,-5.9850269732944664e-05,0.25,1.9447728393886884e-06,
55,Tavg_z0.001_t1,0,1.0,0.0,55,300.0011638180692,-0.34447004714249346,2.0,2.2170651129797655e-06,
56,Tavg_z0.001_t1,0,1.0,0.0,56,300.0011651671091,-0.001011130543167845,0.9283040364583335,1.736348555750821e-06,
57,Tavg_z0.001_t1,0,1.0,0.0,57,300.00116487846884,-0.0412221831096631,1.675067816840278,1.049383271452916e-06,
58,Tavg_z0.001_t1,0,1.0,0.0,58,300.0011684417123,-2.886425031770659e-05,0.25,2.092141412267411e-06,
59,Tavg_z0.001_t1,0,1.0,0.0,59,300.0011666074482,-0.0001339895546545222,0.5335069444444444,1.1676084597211996e-06,
60,Tavg_z0.001_t1,0,1.0,0.0,60,300.00116663466804,-0.00012416109131215436,0.5196180555555555,9.16987192324069e-07,
61,Tavg_z0.001_t1,0,1.0,0.0,61,300.00116560403177,-0.0003762134250654266,0.7397135416666665,2.718325385666748e-07,
62,Tavg_z0.001_t1,0,1.0,0.0,62,300.001164206196,-0.04681694346978738,1.6038736979166668,1.961855897909307e-06,
63,Tavg_z0.001_t1,0,1.0,0.0,63,300.00116949066637,-3.813146039599618e-05,0.25,1.4366182641626512e-06,
64,Tavg_z0.001_t1,0,1.0,0.0,64,300.00116695393785,-6.864101181350992e-05,0.4219618055555555,4.036180448636353e-07,
65,Tavg_z0.001_t1,0,1.0,0.0,65,300.00116489575134,-0.0015388073307663714,1.0397216796875002,1.0971455609001372e-06,
66,Tavg_z0.001_t1,0,1.0,0.0,66,300.0011638826266,-0.009464381462605597,1.3964680989583338,1.4123961413533647e-06,
67,Tavg_z0.001_t1,0,1.0,0.0,67,300.00116540957663,-0.0002017557149252526,0.675075954861111,1.5352711087586465e-06,
68,Tavg_z0.001_t1,0,1.0,0.0,68,300.0011639127822,-0.00458885209014701,1.2842881944444446,9.202326582194323e-07,
69,Tavg_z0.001_t1,0,1.0,0.0,69,300.0011642175708,-0.0005351451952281614,0.8688151041666667,1.1358016566556402e-06,
