                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
0        Tavg_z0.001_t1       0  1.0  0.0    0  300.001166 -3.010473e-04  0.701280  1.302280e-06      NaN
1        Tavg_z0.001_t1       0  1.0  0.0    1  300.001165 -1.972195e-01  1.876367  1.386324e-06      NaN
2        Tavg_z0.001_t1       0  1.0  0.0    2  300.001165 -1.869221e-03  1.041829  7.157921e-07      NaN
3        Tavg_z0.001_t1       0  1.0  0.0    3  300.001165 -3.708778e-01  2.000000  1.063810e-06      NaN
4        Tavg_z0.001_t1       0  1.0  0.0    4  300.001171 -5.022212e-05  0.250000  9.873055e-07      NaN
5        Tavg_z0.001_t1       0  1.0  0.0    5  300.001166 -3.010464e-04  0.701280  1.724561e-06      NaN
6        Tavg_z0.001_t1       0  1.0  0.0    6  300.001166 -4.582525e-04  0.764160  2.870585e-07      NaN
7        Tavg_z0.001_t1       0  1.0  0.0    7  300.001165 -5.972629e-04  0.836914  1.303940e-06      NaN
8        Tavg_z0.001_t1       0  1.0  0.0    8  300.001166 -3.738125e-04  0.738770  9.579774e-07      NaN
9        Tavg_z0.001_t1       0  1.0  0.0    9  300.001172 -5.217936e-05  0.250000  5.720885e-07      NaN
10       Tavg_z0.001_t1       0  1.0  0.0   10  300.001166 -2.058150e-04  0.637204  2.345536e-07      NaN
11       Tavg_z0.001_t1       0  1.0  0.0   11  300.001166 -3.010486e-04  0.701280  7.789903e-07      NaN
12       Tavg_z0.001_t1       0  1.0  0.0   12  300.001164 -3.385598e-01  2.000000  1.261373e-06      NaN
13       Tavg_z0.001_t1       0  1.0  0.0   13  300.001166 -2.630137e-04  0.668462  1.158363e-06      NaN
14       Tavg_z0.001_t1       0  1.0  0.0   14  300.001169 -3.230219e-05  0.250000  1.033106e-06      NaN
15       Tavg_z0.001_t1       0  1.0  0.0   15  300.001167 -7.579461e-05  0.444444  5.369754e-07      NaN
16       Tavg_z0.001_t1       0  1.0  0.0   16  300.001166 -3.010484e-04  0.701280  2.791609e-07      NaN
17       Tavg_z0.001_t1       0  1.0  0.0   17  300.001166 -3.010479e-04  0.701280  1.425156e-06      NaN
18       Tavg_z0.001_t1       0  1.0  0.0   18  300.001171 -4.695216e-05  0.250000  1.307956e-06      NaN
19       Tavg_z0.001_t1       0  1.0  0.0   19  300.001167 -7.605349e-05  0.396615  1.492456e-06      NaN
20       Tavg_z0.001_t1       0  1.0  0.0   20  300.001177 -7.221418e-05  0.250000  1.345978e-06      NaN
21       Tavg_z0.001_t1       0  1.0  0.0   21  300.001166 -2.265648e-04  0.640449  1.032412e-06      NaN
22       Tavg_z0.001_t1       0  1.0  0.0   22  300.001167 -1.746746e-04  0.570258  5.427139e-07      NaN
23       Tavg_z0.001_t1       0  1.0  0.0   23  300.001173 -5.481793e-05  0.250000  6.422348e-07      NaN
24       Tavg_z0.001_t1       0  1.0  0.0   24  300.001165 -2.930560e-04  0.722431  1.075743e-06      NaN
25       Tavg_z0.001_t1       0  1.0  0.0   25  300.001165 -1.085912e-03  0.964846  5.678776e-07      NaN
26       Tavg_z0.001_t1       0  1.0  0.0   26  300.001169 -3.138692e-05  0.250000  2.196213e-06      NaN
27       Tavg_z0.001_t1       0  1.0  0.0   27  300.001165 -9.198841e-04  0.915063  5.660933e-07      NaN
28       Tavg_z0.001_t1       0  1.0  0.0   28  300.001169 -4.341343e-05  0.297266  2.051750e-06      NaN
29       Tavg_z0.001_t1       0  1.0  0.0   29  300.001164 -2.199190e-01  2.000000  1.850543e-06      NaN
30       Tavg_z0.001_t1       0  1.0  0.0   30  300.001168 -1.249143e-04  0.463368  1.821770e-06      NaN
31       Tavg_z0.001_t1       0  1.0  0.0   31  300.001173 -6.472939e-05  0.285596  1.466146e-06      NaN
32       Tavg_z0.001_t1       0  1.0  0.0   32  300.001168 -1.450101e-04  0.506424  9.277307e-07      NaN
33       Tavg_z0.001_t1       0  1.0  0.0   33  300.001167 -1.112182e-04  0.489410  1.791382e-06      NaN
34       Tavg_z0.001_t1       0  1.0  0.0   34  300.001171 -8.480676e-05  0.350521  9.606498e-07      NaN
35       Tavg_z0.001_t1       0  1.0  0.0   35  300.001166 -2.109711e-04  0.642320  3.348549e-07      NaN
36       Tavg_z0.001_t1       0  1.0  0.0   36  300.001165 -4.859216e-04  0.792155  6.146738e-07      NaN
37       Tavg_z0.001_t1       0  1.0  0.0   37  300.001168 -2.449360e-05  0.250000  1.632408e-06      NaN
38       Tavg_z0.001_t1       0  1.0  0.0   38  300.001164 -1.246027e-03  1.025068  8.624821e-07      NaN
39       Tavg_z0.001_t1       0  1.0  0.0   39  300.001166 -4.109965e-04  0.755534  1.266077e-06      NaN
40       Tavg_z0.001_t1       0  1.0  0.0   40  300.001164 -4.989663e-03  1.297059  2.059749e-06      NaN
41       Tavg_z0.001_t1       0  1.0  0.0   41  300.001167 -8.308636e-04  0.871094  1.143784e-06      NaN
42       Tavg_z0.001_t1       0  1.0  0.0   42  300.001170 -3.735082e-05  0.250000  6.392612e-07      NaN
