QOI,X1,Tavg_z0.001_t1,Tavg_z0.001_t5,Tavg_z0.001_t6,Tavg_z0.001_t12,Tavg_z0.006_t1,Tavg_z0.006_t5,Tavg_z0.006_t6,Tavg_z0.006_t12,Tavg_z0.03_t1,Tavg_z0.03_t5,Tavg_z0.03_t6,Tavg_z0.03_t12,Tavg_z0.045_t1,Tavg_z0.045_t5,Tavg_z0.045_t6,Tavg_z0.045_t12,Tavg_z0.0517_t1,Tavg_z0.0517_t5,Tavg_z0.0517_t6,Tavg_z0.0517_t12
subset,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00027,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,0.00037,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0.00053,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,0.00075,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,0.00106,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,0.0015,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,0.00212,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,0.003,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,0.00424,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,0.006,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
