,QOI,parameter,exact,mean,lower bound,upper bound,boot sd,bounded
0,Tavg_z0.001_t1,beta0,,300.00116769723235,300.0011514088403,300.00118692465196,7.786654526043058e-06,
1,Tavg_z0.001_t1,gamma1,1.0,0.756520788122107,0.25,2.0,0.615580766470622,True
2,Tavg_z0.001_t5,beta0,,300.0054213638184,300.00536225061273,300.0054796848528,2.4498762394599957e-05,
3,Tavg_z0.001_t5,gamma1,1.0,0.9735597330729168,0.25,2.0,0.7839737518677106,True
4,Tavg_z0.001_t6,beta0,,300.0064181696831,300.0062735333387,300.00652080198586,4.711920761931164e-05,
5,Tavg_z0.001_t6,gamma1,1.0,1.4007512975622107,0.25,2.0,0.7232357125353177,True
6,Tavg_z0.001_t12,beta0,,300.01178992201096,300.0116091605235,300.01191095552474,6.946972705690674e-05,
7,Tavg_z0.001_t12,gamma1,1.0,1.22219558263708,0.25,2.0,0.7491188146297199,True
8,Tavg_z0.006_t1,beta0,,307.0365081856516,306.9600272121488,307.15763413661284,0.04985463743294454,
9,Tavg_z0.006_t1,gamma1,1.0,0.6696365175600407,0.25,2.0,0.5357772442903881,True
10,Tavg_z0.006_t5,beta0,,333.25315395951094,332.9600747594462,333.6524843977477,0.14900492503757895,
11,Tavg_z0.006_t5,gamma1,1.0,0.656880814163773,0.25,2.0,0.5574274863244283,True
12,Tavg_z0.006_t6,beta0,,339.37804013035674,338.76402761015026,340.13423897120475,0.2579156296497702,
13,Tavg_z0.006_t6,gamma1,1.0,1.5422987964771422,0.25,2.0,0.6730638485126792,True
14,Tavg_z0.006_t12,beta0,,372.4804634925436,371.9667219052351,373.5230097376938,0.3493817266670528,
15,Tavg_z0.006_t12,gamma1,1.0,1.492732710661712,0.25,2.0,0.6774289025462263,True
16,Tavg_z0.03_t1,beta0,,301.2573594764049,301.24463664148436,301.28209051510635,0.008349063467987429,
17,Tavg_z0.03_t1,gamma1,1.0,1.5802757726598664,0.25,2.0,0.6142686528731789,True
18,Tavg_z0.03_t5,beta0,,306.13274382014134,305.97845492550186,306.28724979301614,0.061760081937180245,
19,Tavg_z0.03_t5,gamma1,1.0,1.5140790167914506,0.25,2.0,0.6827291036736448,True
20,Tavg_z0.03_t6,beta0,,307.27305744764254,307.0332636313318,307.4902274815297,0.09090381443981634,
21,Tavg_z0.03_t6,gamma1,1.0,1.4983782320375794,0.25,2.0,0.7013871098541979,True
22,Tavg_z0.03_t12,beta0,,313.41134996838264,312.92523877223033,313.74793865370015,0.17181667812540458,
23,Tavg_z0.03_t12,gamma1,1.0,1.4970510039152927,0.25,2.0,0.6878383426117772,True
24,Tavg_z0.045_t1,beta0,,300.7752842482436,300.68458041787585,300.84122221718746,0.030613346456229353,
25,Tavg_z0.045_t1,gamma1,1.0,1.4892305976019968,0.25,2.0,0.6833533459980059,True
26,Tavg_z0.045_t5,beta0,,303.82892880239604,303.43098973214353,304.0658446640359,0.13678835003649312,
27,Tavg_z0.045_t5,gamma1,1.0,1.4531660150598604,0.25,2.0,0.7066678562156288,True
28,Tavg_z0.045_t6,beta0,,304.5663434404816,303.3177531093836,305.31282363928443,0.3808401454305157,
29,Tavg_z0.045_t6,gamma1,1.0,1.4823634474012592,0.25,2.0,0.6875846124292813,True
30,Tavg_z0.045_t12,beta0,,308.46119250527676,306.8979226658833,309.585496386142,0.5045541429666076,
31,Tavg_z0.045_t12,gamma1,1.0,1.4133184746636283,0.25,2.0,0.72319545038516,True
32,Tavg_z0.0517_t1,beta0,,300.64150110885606,300.5248546259031,300.7328776376461,0.04223303434261963,
33,Tavg_z0.0517_t1,gamma1,1.0,1.4593625669126162,0.25,2.0,0.7003657360299739,True
34,Tavg_z0.0517_t5,beta0,,303.1779578317475,302.50980549870775,303.70460498485454,0.21841945762876538,
35,Tavg_z0.0517_t5,gamma1,1.0,1.4449264639395254,0.25,2.0,0.7134442665112665,True
36,Tavg_z0.0517_t6,beta0,,303.8298653893268,302.33597329201314,304.92957710291756,0.4661488665661041,
37,Tavg_z0.0517_t6,gamma1,1.0,1.4626418507893875,0.25,2.0,0.7042497984590983,True
38,Tavg_z0.0517_t12,beta0,,307.0017270393196,304.51966909416967,308.55555836506227,0.7974398714529476,
39,Tavg_z0.0517_t12,gamma1,1.0,1.4744317988642932,0.25,2.0,0.701505054551172,True
